family	host	host.name
Phycodnaviridae	Algae	Algae DNA Viruses
Pithoviridae	Eukaryotes	Amoeba DNA Viruses
Adenoviridae	Animals	Animal DNA Viruses
Anelloviridae	Animals	Animal DNA Viruses
Herpesviridae	Animals	Animal DNA Viruses
Parvoviridae	Animals	Animal DNA Viruses
Polyomaviridae	Animals	Animal DNA Viruses
Circoviridae	Animals	Animal DNA Viruses
Alloherpesviridae	Animals	Animal DNA Viruses
Papillomaviridae	Animals	Animal DNA Viruses
Poxviridae	Animals	Animal DNA Viruses
Astroviridae	Animals	Animal RNA Viruses
Caliciviridae	Animals	Animal RNA Viruses
Picornaviridae	Animals	Animal RNA Viruses
Peribunyaviridae	Animals	Animal RNA Viruses
Picobirnaviridae	Animals	Animal RNA Viruses
Retroviridae	Animals	Animal RNA Viruses
Flaviviridae	Animals	Animal RNA Viruses
Pneumoviridae	Animals	Animal RNA Viruses
Aeropyrum	Archaea	Archaeal Viruses
Ampullaviridae	Archaea	Archaeal Viruses
Bicaudaviridae	Archaea	Archaeal DNA Viruses
Fuselloviridae	Archaea	Archaeal Viruses
Globuloviridae	Archaea	Archaeal Viruses
Guttaviridae	Archaea	Archaeal Viruses
Halovirus	Archaea	Archaeal Viruses
Hyperthermophilic	Archaea	Archaeal Viruses
Lipothrixviridae	Archaea	Archaeal Viruses
Pyrobaculum	Archaea	Archaeal Viruses
Pyrococcus	Archaea	Archaeal Viruses
Rudiviridae	Archaea	Archaeal Viruses
Salterprovirus	Archaea	Archaeal Viruses
Sulfolobales	Archaea	Archaeal Viruses
Sulfolobus	Archaea	Archaeal Viruses
Thermococcus	Archaea	Archaeal Viruses
Turriviridae	Archaea	Archaeal Viruses
Ackermannviridae	Bacteria	Bacteriophages
Inoviridae	Bacteria	Bacteriophages
Microviridae	Bacteria	Bacteriophages
Myoviridae	Bacteria	Bacteriophages
Podoviridae	Bacteria	Bacteriophages
Siphoviridae	Bacteria	Bacteriophages
Sphaerolipoviridae	Bacteria	Bacteriophages
Aurantimonas	Bacteria	Bacteriophages
Bacillus	Bacteria	Bacteriophages
Brucella	Bacteria	Bacteriophages
Celeribacter	Bacteria	Bacteriophages
Cellulophaga	Bacteria	Bacteriophages
Clostridium	Bacteria	Bacteriophages
Corticoviridae	Bacteria	Bacteriophages
Cyanophage	Bacteria	Bacteriophages
Deep-sea	Bacteria	Bacteriophages
Enterobacteria	Bacteria	Bacteriophages
Enterococcus	Bacteria	Bacteriophages
Erwinia	Bacteria	Bacteriophages
Flavobacterium	Bacteria	Bacteriophages
Geobacillus	Bacteria	Bacteriophages
Halorubrum	Bacteria	Bacteriophages
Hydrogenobaculum	Bacteria	Bacteriophages
Idiomarinaceae	Bacteria	Bacteriophages
Lactobacillus	Bacteria	Bacteriophages
Loktanella	Bacteria	Bacteriophages
Marinomonas	Bacteria	Bacteriophages
Mycoplasma	Bacteria	Bacteriophages
Nitrincola	Bacteria	Bacteriophages
Oenococcus	Bacteria	Bacteriophages
Paenibacillus	Bacteria	Bacteriophages
Phormidium	Bacteria	Bacteriophages
Plasmaviridae	Bacteria	Bacteriophages
Pleolipoviridae	Bacteria	Bacteriophages
Prochlorococcus	Bacteria	Bacteriophages
Propionibacterium	Bacteria	Bacteriophages
Providencia	Bacteria	Bacteriophages
Pseudoalteromonas	Bacteria	Bacteriophages
Pseudomonas	Bacteria	Bacteriophages
Ralstonia	Bacteria	Bacteriophages
Rhizobium	Bacteria	Bacteriophages
Rhodobacter	Bacteria	Bacteriophages
Rhodococcus	Bacteria	Bacteriophages
Salicola	Bacteria	Bacteriophages
Salisaeta	Bacteria	Bacteriophages
Salmonella	Bacteria	Bacteriophages
Sinorhizobium	Bacteria	Bacteriophages
Sodalis	Bacteria	Bacteriophages
Staphylococcus	Bacteria	Bacteriophages
Streptococcus	Bacteria	Bacteriophages
Sulfitobacter	Bacteria	Bacteriophages
Synechococcus	Bacteria	Bacteriophages
Tectiviridae	Bacteria	Bacteriophages
Tetraselmis	Bacteria	Bacteriophages
Tetrasphaera	Bacteria	Bacteriophages
Thermus	Bacteria	Bacteriophages
uncultured	Bacteria	Bacteriophages
Vibrio	Bacteria	Bacteriophages
Xanthomonas	Bacteria	Bacteriophages
crAssphage	Bacteria	Bacteriophages
Herelleviridae	Bacteria	Bacteriophages
Abalone	Animals	Eukaryotic Viruses
Acheta	Animals	Eukaryotic Viruses
Acyrthosiphon	Animals	Eukaryotic Viruses
Adelphocoris	Animals	Eukaryotic Viruses
Aedes	Eukaryotes	Eukaryotic Viruses
Ageratum	Plants	Eukaryotic Viruses
Alfalfa	Plants	Eukaryotic Viruses
Alphaflexiviridae	Fungi&Plants	Eukaryotic Viruses
Alphatetraviridae	Animals	Eukaryotic Viruses
Alternaria	Fungi	Eukaryotic Viruses
Alvernaviridae	Algae	Eukaryotic Viruses
Amalgaviridae	Animals	Eukaryotic Viruses
Ancient	Environment	Eukaryotic Viruses
Anopheline-associated	Animals	Eukaryotic Viruses
Anphevirus	Animals	Eukaryotic Viruses
Antarctic	Environment	Eukaryotic Viruses
Aphis	Animals	Eukaryotic Viruses
Apis	Animals	Eukaryotic Viruses
Arabis	Plants	Eukaryotic Viruses
Arenaviridae	Animals	Eukaryotic Viruses
Arhar	Plants	Eukaryotic Viruses
Arlivirus	Animals	Eukaryotic Viruses
Arteriviridae	Animals	Eukaryotic Viruses
Aspergillus	Fungi	Eukaryotic Viruses
Aumaivirus	Plants	Eukaryotic Viruses
Bacilladnavirus	Algae	Eukaryotic Viruses
Bacillarnavirus	Algae	Eukaryotic Viruses
Bamboo	Plants	Eukaryotic Viruses
Barnaviridae	Fungi	Eukaryotic Viruses
Beet	Plants	Eukaryotic Viruses
Begomovirus-associated	Plants	Eukaryotic Viruses
Beihai	Animals	Eukaryotic Viruses
Benyviridae	Plants	Eukaryotic Viruses
Bhendi	Plants	Eukaryotic Viruses
Bhindi	Plants	Eukaryotic Viruses
Bidnaviridae	Animals	Eukaryotic Viruses
Big	Animals	Eukaryotic Viruses
Biomphalaria	Animals	Eukaryotic Viruses
Biratnagar	Animals	Eukaryotic Viruses
Birnaviridae	Animals	Eukaryotic Viruses
Bivalve	Animals	Eukaryotic Viruses
Blackcurrant	Plants	Eukaryotic Viruses
Blueberry	Plants	Eukaryotic Viruses
Boiling	Environment	Eukaryotic Viruses
Bole	Animals	Eukaryotic Viruses
Bombyx	Animals	Eukaryotic Viruses
Bornaviridae	Animals	Eukaryotic Viruses
Botrytis	Fungi	Eukaryotic Viruses
Botybirnavirus	Fungi	Eukaryotic Viruses
Bovine	Animals	Eukaryotic Viruses
Bradson	Animals	Eukaryotic Viruses
Bromoviridae	Plants	Eukaryotic Viruses
Bromus-associated	Plants	Eukaryotic Viruses
Burke-Gilman	Animals	Eukaryotic Viruses
Canine	Animals	Eukaryotic Viruses
Cardamom	Plants	Eukaryotic Viruses
Carmotetraviridae	Animals	Eukaryotic Viruses
Carrot	Plants	Eukaryotic Viruses
Cassava	Plants	Eukaryotic Viruses
Caulimoviridae	Plants	Eukaryotic Viruses
Cedratvirus	Protozoa	Eukaryotic Viruses
Cereal	Plants	Eukaryotic Viruses
Chaetoceros	Algae	Eukaryotic Viruses
Chamois	Animals	Eukaryotic Viruses
Changjiang	Animals	Eukaryotic Viruses
Changping	Animals	Eukaryotic Viruses
Chicken	Animals	Eukaryotic Viruses
Chicory	Plants	Eukaryotic Viruses
Chilli	Plants	Eukaryotic Viruses
CHIV14	Environment	Eukaryotic Viruses
Chronic	Animals	Eukaryotic Viruses
Cilevirus	Plants	Eukaryotic Viruses
Circo-like	Environment	Eukaryotic Viruses
Circovirus-like	Environment	Eukaryotic Viruses
Circulifer	Animals	Eukaryotic Viruses
Cladosporium	Fungi	Eukaryotic Viruses
Cleome	Plants	Eukaryotic Viruses
Coconut	Plants	Eukaryotic Viruses
Colletotrichum	Fungi	Eukaryotic Viruses
Cordoba	Animals	Eukaryotic Viruses
Corey	Animals	Eukaryotic Viruses
Coronaviridae	Animals	Animal RNA Viruses
Cotton	Plants	Eukaryotic Viruses
Croton	Plants	Eukaryotic Viruses
Crustavirus	Animals	Eukaryotic Viruses
Cryphonectria	Fungi	Eukaryotic Viruses
Ctenophore-associated	Animals	Eukaryotic Viruses
Cuban	Plants	Eukaryotic Viruses
Cucumber	Plants	Eukaryotic Viruses
Cucurbit	Plants	Eukaryotic Viruses
Culex	Eukaryotes	Eukaryotic Viruses
Curvularia	Fungi	Eukaryotic Viruses
Cyanoramphus	Environment	Eukaryotic Viruses
Cymbidium	Plants	Eukaryotic Viruses
Daeseongdong	Animals	Eukaryotic Viruses
Deer	Animals	Eukaryotic Viruses
Delisea	Algae	Eukaryotic Viruses
Deltavirus	Animals	Eukaryotic Viruses
Diabrotica	Animals	Eukaryotic Viruses
Diaphorina	Animals	Eukaryotic Viruses
Diaporthe	Fungi	Eukaryotic Viruses
Dicistroviridae	Animals	Eukaryotic Viruses
Diplodia	Fungi	Eukaryotic Viruses
Dragonfly	Animals	Eukaryotic Viruses
Drosophila	Animals	Eukaryotic Viruses
Duck	Animals	Eukaryotic Viruses
Dunaliella	Algae	Eukaryotic Viruses
Duwamo	Environment	Eukaryotic Viruses
Egaro	Environment	Eukaryotic Viruses
Endornaviridae	Fungi&Plants	Eukaryotic Viruses
