library_id	copy_number_rxn
D3330	0
D3400	0
D3450	0
D3520	0
D3521	0
D3524	0
D3570	0
D3571	0
D3590	0
D3591	0
D3650	0
D3680	0
D3730	0
D3750	0
D3760	0
D3850	0
D3851	0
D3854	0
D3890	0
D3940	0
D3950	0
D3951	0
D3954	0
D3960	0
D3961	0
D3964	0
D3980	0
D4000	0
D4001	0
D4010	0
D4011	0
D4014	0
D4280	0
D4281	0
D4284	0
D3654	39090.86667
D3734	24525.36667
D3761	2342.666667
D3751	303.029
D3331	0
D3334	0
D3401	0
D3404	0
D3451	0
D3454	0
D3574	0
D3594	0
D3651	0
D3681	0
D3684	0
D3731	0
D3754	0
D3764	0
D3891	0
D3894	0
D3941	0
D3944	0
D3981	0
D3984	0
D4004	0
D117	181.7293333
D104	0
D126	0
D160	0
D167	0
D186	0
D255	0
D272	0
D281	0
D283	0
D294	0
D302	0
D309	0
D322	0
D348	0
D351	0
D374	0
D406	0
D414	0
D261	0
D225	0
D232	0
D234	0
D257	0
D306	0
D331	0
D403	27975.4
D292	12126.03333
D157	323.0033333
D158	53.07713333
D122	45.21463333
D324	26.48013333
D193	14.30966667
D319	8.65334
D358	6.923923333
D101	0
D105	0
D120	0
D125	0
D130	0
D133	0
D136	0
D140	0
D153	0
D173	0
D178	0
D188	0
D195	0
D208	0
D215	0
D217	0
D221	0
D230	0
D233	0
D241	0
D245	0
D275	0
D287	0
D288	0
D289	0
D290	0
D295	0
D350	0
D367	0
D370	0
D386	0
D392	0
D420	0
D424	0
D427	0
D404	333359.6667
D100	0
D121	0
D145	0
D165	0
D184	0
D196	0
D263	0
D278	0
D280	0
D285	0
D296	0
D360	0
D383	0
D385	0
D417	0
