superkingdom	baltimore	phylum	class	order	family	subfamily	genus	species	name	tax_id
NA		NA	NA	NA	NA	NA	NA	NA	Bacteria	2
Bacteria		NA	NA	NA	NA	NA	NA	NA	Firmicutes	1239
Bacteria		Firmicutes	NA	NA	NA	NA	NA	NA	Bacilli	91061
Bacteria		Firmicutes	Bacilli	NA	NA	NA	NA	NA	Bacillales	1385
Bacteria		Firmicutes	Bacilli	Bacillales	NA	NA	NA	NA	Bacillaceae	186817
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus cereus	1396
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus anthracis	1392
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus amyloliquefaciens	1390
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus velezensis	492670
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Bacillus	NA	Bacillus subtilis	1423
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Geobacillus	NA	Geobacillus thermodenitrificans	33940
Bacteria		Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	Lysinibacillus	NA	Lysinibacillus sp. Marseille-P5727	2086577
Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA	NA	NA	Staphylococcus	1279
Bacteria		Firmicutes	Bacilli	Bacillales	Staphylococcaceae	NA	Staphylococcus	NA	Staphylococcus aureus	1280
Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	NA	NA	Streptococcus	1301
Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	Streptococcus	NA	Streptococcus pyogenes	1314
Bacteria		Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	NA	Streptococcus	NA	Streptococcus thermophilus	1308
Bacteria		Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	NA	Lactobacillus	NA	Lactobacillus ruminis	1623
Bacteria		Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	Enterococcus	NA	Enterococcus faecalis	1351
Bacteria		Firmicutes	Clostridia	NA	NA	NA	NA	NA	Clostridiales	186802
Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	NA	NA	Clostridium	1485
Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	Clostridium	NA	Clostridium botulinum	1491
Bacteria		Firmicutes	Clostridia	Clostridiales	Clostridiaceae	NA	Clostridium	NA	Clostridium tyrobutyricum	1519
Bacteria		Firmicutes	Clostridia	Clostridiales	NA	NA	NA	NA	Lachnospiraceae	186803
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Anaerotignum	NA	Anaerotignum propionicum	28446
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA	NA	[Eubacterium] rectale	39491
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Roseburia	NA	Roseburia hominis	301301
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Anaerostipes	NA	Anaerostipes hadrus	649756
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Lachnoclostridium	NA	Lachnoclostridium phocaeense	1871021
Bacteria		Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	Herbinix	NA	Herbinix luporum	1679721
Bacteria		Firmicutes	Clostridia	Clostridiales	NA	NA	NA	NA	Peptococcaceae	186807
