Sample_id	Study_group	VLP_count_per_gram	VLP_16s_copy_per_gram	Total_microbal_DNA_16s_copy_per_gram	Viral_richness_RefSeq	Viral_richness_contig	Bacterial_sequencing_read	Bacteria_sequencing_proportion	Bacterial_richness	Bacterial_shannon_diversity
3330	Month 0	0.00E+00	0.00E+00	0.00E+00	8	12	1723312	0.75441018	2	0.215546663
3331	Month 1	3.19E+08	1.63E+04	8.96E+08	11	45	4213835	0.753446249	2	0.544418412
3334	Month 4	6.88E+09	6.35E+04	1.60E+10	3	26	2526513	0.432076149	4	1.107587823
3400	Month 0	0.00E+00	0.00E+00	0.00E+00	0	23	4893837	0.980389945	1	0
3401	Month 1	7.89E+08	7.13E+05	3.40E+07	5	36	2489924	0.776092867	4	0.815868269
3404	Month 4	1.04E+09	1.97E+05	6.33E+08	1	47	1499978	0.489009672	5	1.34862611
3450	Month 0	0.00E+00	3.34E+03	0.00E+00	0	6	2144	0.002036637	0	0
3451	Month 1	6.68E+09	3.69E+04	6.99E+08	6	41	1199079	0.264221694	3	1.055028368
3454	Month 4	4.49E+09	2.15E+04	3.54E+09	5	46	1869913	0.615875844	6	1.539277573
3520	Month 0	7.83E+08	1.21E+05	5.38E+09	7	14	2957345	0.867145471	2	0.533852664
3521	Month 1	4.04E+08	8.41E+04	8.41E+07	4	24	2038285	0.524139309	3	0.372474772
3524	Month 4	2.35E+09	0.00E+00	1.33E+09	8	75	1755150	0.506142108	8	1.856443318
3570	Month 0	0.00E+00	0.00E+00	0.00E+00	0	17	569934	0.31924819	3	0.829152601
3571	Month 1	4.43E+08	2.36E+05	6.91E+07	16	67	881175	0.410188817	3	1.097659248
3574	Month 4	5.30E+08	7.43E+05	4.73E+08	5	77	2012661	0.624809972	4	1.12938089
3590	Month 0	0.00E+00	0.00E+00	0.00E+00	0	5	360071	0.115650906	0	0
3591	Month 1	4.56E+08	5.46E+06	2.93E+07	8	49	3073047	0.593799575	6	1.126709418
3594	Month 4	5.54E+09	6.23E+06	7.79E+07	5	29	1307285	0.343761381	5	1.385994085
3650	Month 0	0.00E+00	0.00E+00	0.00E+00	7	24	702905	0.851544678	4	0.940735643
3651	Month 1	5.43E+08	6.99E+05	4.52E+08	26	79	2576986	0.664233451	3	0.927848231
3654	Month 4	1.62E+09	2.65E+06	2.26E+06	2	65	2303040	0.807115389	0	0
3680	Month 0	0.00E+00	0.00E+00	0.00E+00	0	4	16658	0.003971082	0	0
3681	Month 1	2.67E+09	2.88E+05	5.59E+08	0	39	1353618	0.312501847	3	0.866721544
3684	Month 4	1.25E+09	7.74E+05	1.06E+09	12	96	1362647	0.611206501	2	0.685418075
3730	Month 0	0.00E+00	0.00E+00	0.00E+00	0	11	95644	0.046470295	0	0
3731	Month 1	9.82E+07	2.30E+06	1.18E+09	5	61	2458546	0.559779635	3	0.720413237
3734	Month 4	1.06E+07	2.85E+05	1.93E+08	8	72	2226177	0.591569136	3	0.839053438
3750	Month 0	0.00E+00	3.11E+03	0.00E+00	0	7	89901	0.029458854	0	0
3751	Month 1	4.85E+07	1.58E+05	1.98E+08	10	58	2033452	0.581758695	7	1.555322319
3754	Month 4	3.85E+08	2.19E+04	2.78E+03	15	99	2124774	0.773395707	3	0.895992317
3760	Month 0	0.00E+00	5.14E+03	2.50E+03	0	8	114898	0.025458759	0	0
3761	Month 1	2.78E+09	2.30E+05	3.70E+08	3	42	1501151	0.612910575	6	1.364720712
3764	Month 4	1.29E+09	6.34E+04	3.02E+08	2	35	1140815	0.790450283	4	0.964878452
3850	Month 0	1.31E+07	1.19E+05	3.48E+04	0	4	69566	0.015258021	0	0
3851	Month 1	1.14E+09	0.00E+00	0.00E+00	8	32	3073159	0.785901609	3	0.505271438
3854	Month 4	1.16E+09	0.00E+00	0.00E+00	4	30	2554588	0.94833506	2	0.688037712
3890	Month 0	0.00E+00	3.26E+03	0.00E+00	0	6	61555	0.01261663	0	0
3891	Month 1	1.73E+09	0.00E+00	3.07E+08	11	50	3609875	0.609028168	2	0.59707397
3894	Month 4	3.31E+08	4.57E+05	2.09E+07	10	42	1406666	0.341399259	8	1.667277933
3940	Month 0	4.84E+08	2.77E+03	0.00E+00	6	11	295840	0.064739409	0	0
3941	Month 1	4.52E+09	1.71E+06	1.93E+07	3	29	2252375	0.537076681	5	1.379565482
3944	Month 4	1.91E+08	1.63E+04	1.07E+07	13	84	3413576	0.861704276	1	0
3950	Month 0	0.00E+00	5.58E+03	0.00E+00	0	2	1549023	0.322288242	0	0
3951	Month 1	1.47E+09	0.00E+00	0.00E+00	0	30	3172486	0.648180286	0	0
3954	Month 4	4.55E+08	4.37E+05	1.69E+09	11	49	3286045	0.550078836	4	0.864831645
3960	Month 0	0.00E+00	3.63E+05	2.15E+06	0	11	2054813	0.737828139	2	0.323852485
3961	Month 1	7.34E+08	0.00E+00	0.00E+00	7	17	1388778	0.794199189	1	0
3964	Month 4	4.44E+09	0.00E+00	0.00E+00	0	11	2210424	0.514180399	3	0.746328632
3980	Month 0	0.00E+00	0.00E+00	0.00E+00	0	18	57728	0.017011766	0	0
3981	Month 1	0.00E+00	1.41E+06	3.22E+07	1	52	2659102	0.509367091	2	0.302692373
3984	Month 4	4.89E+07	0.00E+00	0.00E+00	12	63	3102588	0.693764569	3	0.677841571
4000	Month 0	0.00E+00	1.57E+05	4.36E+06	8	44	3231388	0.752078324	2	0.629330101
