# Constructed from biom file
#OTU ID	s4004-taxa	sW3-taxa	s3894-taxa	sW1-taxa	s3761-taxa	s4281-taxa	s3940-taxa	s3654-taxa	sW2-taxa	s3961-taxa	s3954-taxa	s3574-taxa	s3764-taxa	s3594-taxa	s4280-taxa	s3951-taxa	s3681-taxa	s3520-taxa	s3570-taxa	s3680-taxa	s4011-taxa	s3521-taxa	s3751-taxa	s3330-taxa	s3981-taxa	s3760-taxa	sS3-taxa	s3944-taxa	s4284-taxa	s3590-taxa	s3730-taxa	sE2-taxa	s3591-taxa	s3651-taxa	s3451-taxa	s3731-taxa	sE4-taxa	s3684-taxa	s3950-taxa	sS1-taxa	s3331-taxa	s3524-taxa	s3851-taxa	s3960-taxa	s4000-taxa	s4001-taxa	s3854-taxa	s3850-taxa	s3890-taxa	s4014-taxa	s3941-taxa	s3650-taxa	s3964-taxa	s3754-taxa	s4010-taxa	s3984-taxa	s3980-taxa	sE3-taxa	sS4-taxa	s3750-taxa	s3400-taxa	s3891-taxa	sE5-taxa	sS2-taxa	s3734-taxa	s3401-taxa	s3450-taxa	s3334-taxa	s3571-taxa	s3454-taxa	s3404-taxa	sE1-taxa	Consensus Lineage
2	6.0	1480.0	5137.0	4.0	1758.0	1483.0	375.0	3436.0	14.0	768.0	1306.0	1521.0	623.0	1857.0	280.0	1288.0	3193.0	1180.0	1686.0	18.0	1606.0	804.0	937.0	636.0	6632.0	219.0	142.0	5988.0	955.0	492.0	67.0	4.0	2182.0	2656.0	1496.0	3210.0	4.0	1053.0	998.0	32.0	952.0	2472.0	922.0	2114.0	2580.0	2837.0	2672.0	64.0	170.0	1901.0	2482.0	44.0	3662.0	1819.0	115.0	2266.0	111.0	2.0	81.0	128.0	6883.0	4974.0	1.0	395.0	1657.0	1373.0	5.0	2905.0	771.0	2270.0	888.0	129.0	k__Bacteria; p__; c__; o__; f__; g__; s__
1224	7.0	257.0	1753.0	3.0	1950.0	260.0	340.0	2436.0	7.0	49.0	404.0	220.0	1061.0	937.0	73.0	194.0	1127.0	304.0	8313.0	12.0	536.0	60.0	366.0	625.0	928.0	295.0	125.0	4290.0	371.0	502.0	85.0	4.0	1207.0	1417.0	494.0	3313.0	2.0	209.0	521.0	25.0	776.0	533.0	772.0	5501.0	2082.0	917.0	946.0	31.0	76.0	557.0	945.0	13.0	1019.0	2028.0	83.0	3763.0	25.0	1.0	15.0	46.0	2036.0	11303.0	2.0	312.0	596.0	5186.0	10.0	854.0	205.0	1624.0	656.0	240.0	k__Bacteria; p__Proteobacteria; c__; o__; f__; g__; s__
1236	9.0	131.0	2524.0	0.0	2417.0	205.0	371.0	4856.0	8.0	23.0	416.0	126.0	1427.0	829.0	60.0	945.0	1248.0	4244.0	4173.0	29.0	529.0	632.0	735.0	983.0	858.0	197.0	208.0	7886.0	249.0	603.0	120.0	1.0	2125.0	3228.0	742.0	2889.0	2.0	236.0	848.0	4.0	739.0	1842.0	318.0	3734.0	4809.0	880.0	3704.0	30.0	39.0	2035.0	549.0	124.0	789.0	5947.0	71.0	3719.0	48.0	1.0	5.0	59.0	9634.0	7239.0	0.0	576.0	323.0	5097.0	0.0	1004.0	161.0	1871.0	770.0	227.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
91347	5.0	300.0	4101.0	2.0	3913.0	1561.0	719.0	12763.0	13.0	45.0	1285.0	944.0	5609.0	2056.0	219.0	2478.0	4419.0	8739.0	390.0	60.0	1445.0	1882.0	620.0	2459.0	2812.0	644.0	469.0	12570.0	1718.0	976.0	418.0	13.0	4105.0	9964.0	1308.0	7186.0	3.0	836.0	2225.0	15.0	2389.0	4717.0	1177.0	9687.0	12020.0	1400.0	8893.0	79.0	50.0	3148.0	3785.0	21.0	2176.0	6431.0	193.0	10575.0	102.0	2.0	15.0	201.0	23989.0	22571.0	1.0	1548.0	3963.0	11974.0	0.0	2363.0	2632.0	3593.0	1741.0	601.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__; g__; s__
543	83.0	19088.0	68489.0	20.0	37974.0	19835.0	5946.0	60303.0	163.0	329.0	18192.0	13538.0	87517.0	11253.0	3479.0	54986.0	25868.0	178535.0	1268.0	1107.0	32807.0	36371.0	3611.0	39846.0	17329.0	3671.0	9692.0	142127.0	28777.0	10962.0	6712.0	150.0	49031.0	378604.0	52363.0	40950.0	84.0	5550.0	32392.0	130.0	16059.0	90585.0	16877.0	60228.0	347474.0	14733.0	200384.0	1307.0	1165.0	64940.0	679659.0	916.0	128004.0	51204.0	1650.0	62936.0	1162.0	0.0	609.0	6104.0	573480.0	129955.0	0.0	6807.0	708805.0	68555.0	11.0	95643.0	32065.0	45666.0	25089.0	3727.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__; s__
547	3.0	7.0	1107.0	1.0	311.0	173.0	121.0	2050.0	5.0	12.0	260.0	4.0	186.0	965.0	28.0	3.0	1546.0	4.0	45.0	3.0	260.0	2.0	5.0	87.0	782.0	281.0	30.0	1071.0	190.0	104.0	21.0	0.0	247.0	2055.0	5.0	1069.0	2.0	203.0	406.0	4.0	499.0	8.0	201.0	2852.0	4.0	255.0	6.0	1.0	5.0	133.0	45.0	0.0	339.0	196.0	52.0	4441.0	20.0	0.0	0.0	36.0	14.0	9849.0	0.0	220.0	69.0	2072.0	0.0	450.0	9.0	113.0	65.0	240.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__
550	466.0	630.0	176145.0	40.0	16293.0	6402.0	17684.0	170040.0	211.0	1233.0	19430.0	396.0	38905.0	59572.0	2756.0	150.0	102170.0	204.0	4138.0	297.0	18261.0	46.0	1122.0	13362.0	24649.0	45434.0	3963.0	196859.0	22227.0	5797.0	2993.0	50.0	5418.0	246929.0	585.0	182388.0	93.0	7038.0	50049.0	531.0	16179.0	502.0	25427.0	484312.0	171.0	36219.0	243.0	422.0	1767.0	13825.0	699.0	356.0	36805.0	32362.0	3369.0	529655.0	869.0	7.0	77.0	2995.0	364.0	1731973.0	0.0	18294.0	2534.0	323103.0	12.0	54605.0	574.0	46563.0	5575.0	29239.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__cloacae
61645	25.0	69.0	10278.0	4.0	2216.0	1502.0	1255.0	22504.0	42.0	156.0	2745.0	79.0	2220.0	8411.0	298.0	20.0	15263.0	6.0	486.0	29.0	2619.0	14.0	123.0	880.0	5006.0	2684.0	355.0	12111.0	1723.0	778.0	184.0	3.0	1175.0	19564.0	132.0	10179.0	12.0	1740.0	4458.0	35.0	3774.0	56.0	1839.0	30023.0	14.0	2265.0	78.0	27.0	132.0	1161.0	137.0	28.0	3931.0	2371.0	501.0	46815.0	135.0	0.0	9.0	234.0	37.0	102991.0	0.0	2496.0	650.0	21507.0	0.0	4118.0	101.0	878.0	642.0	2604.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__asburiae
1334193	9.0	42.0	3087.0	2.0	1861.0	883.0	417.0	5819.0	9.0	50.0	634.0	37.0	526.0	2990.0	187.0	120.0	4313.0	88.0	331.0	9.0	786.0	21.0	17.0	728.0	4275.0	619.0	146.0	2956.0	771.0	391.0	68.0	1.0	3563.0	8974.0	118.0	4062.0	9.0	1051.0	862.0	10.0	3228.0	43.0	743.0	7246.0	122.0	629.0	84.0	10.0	30.0	687.0	201.0	21.0	789.0	425.0	174.0	8729.0	76.0	0.0	5.0	118.0	219.0	24303.0	0.0	717.0	802.0	9981.0	1.0	1999.0	58.0	360.0	664.0	482.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__lignolyticus
399742	7.0	34.0	3100.0	0.0	1544.0	845.0	413.0	7414.0	12.0	65.0	797.0	45.0	825.0	3008.0	166.0	27.0	5636.0	56.0	192.0	17.0	914.0	20.0	33.0	340.0	3793.0	789.0	142.0	3689.0	666.0	410.0	64.0	0.0	653.0	7534.0	63.0	3867.0	5.0	894.0	1584.0	10.0	2667.0	50.0	506.0	8132.0	52.0	612.0	24.0	8.0	40.0	435.0	90.0	12.0	1134.0	786.0	198.0	15752.0	69.0	0.0	5.0	69.0	105.0	28116.0	0.0	832.0	254.0	7659.0	0.0	1805.0	98.0	275.0	360.0	853.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__sp. 638
1166130	3.0	47.0	1473.0	0.0	1515.0	626.0	299.0	3312.0	8.0	29.0	387.0	17.0	508.0	1731.0	126.0	47.0	3455.0	51.0	122.0	5.0	628.0	17.0	8.0	316.0	2882.0	378.0	92.0	1506.0	399.0	322.0	40.0	1.0	1106.0	4794.0	72.0	2329.0	2.0	830.0	582.0	7.0	2418.0	33.0	377.0	3792.0	46.0	293.0	145.0	6.0	12.0	277.0	104.0	17.0	677.0	424.0	109.0	5688.0	45.0	0.0	2.0	53.0	167.0	13677.0	0.0	404.0	204.0	4728.0	0.0	1054.0	34.0	213.0	318.0	315.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__sp. R4-368
570	21.0	493.0	28585.0	9.0	33678.0	773.0	4807.0	137946.0	50.0	181.0	598.0	292.0	10688.0	3654.0	370.0	71.0	11668.0	88.0	1750.0	127.0	5649.0	20.0	5764.0	7756.0	2418.0	1120.0	1360.0	69109.0	2018.0	7686.0	860.0	4.0	16366.0	56319.0	854.0	7900.0	21.0	1985.0	2751.0	23.0	5289.0	412.0	31556.0	39371.0	24.0	7532.0	311.0	155.0	167.0	1376.0	197.0	104.0	4184.0	54554.0	738.0	24794.0	255.0	0.0	27.0	896.0	337.0	34239.0	0.0	17212.0	214.0	21076.0	0.0	15579.0	123.0	21235.0	2498.0	1301.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__
573	370.0	9266.0	361127.0	121.0	546431.0	7299.0	71965.0	1486537.0	763.0	4084.0	2326.0	8101.0	317758.0	57657.0	2094.0	808.0	298483.0	574.0	17912.0	2023.0	98170.0	115.0	142923.0	199070.0	3680.0	21198.0	23631.0	2573752.0	20896.0	133105.0	23726.0	49.0	471261.0	293055.0	9463.0	37794.0	320.0	43960.0	61976.0	405.0	91255.0	5854.0	115179.0	990270.0	363.0	90702.0	5945.0	3595.0	3230.0	19382.0	5476.0	965.0	106338.0	1585509.0	15066.0	561846.0	3394.0	13.0	465.0	4342.0	429.0	712536.0	2.0	156560.0	5101.0	72261.0	37.0	84312.0	935.0	550302.0	31789.0	31460.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__pneumoniae
