superkingdom	baltimore	phylum	class	order	family	subfamily	genus	species	name	tax_id
NA		NA	NA	NA	NA	NA	NA	NA	Bacteria	2
Bacteria		NA	NA	NA	NA	NA	NA	NA	Proteobacteria	1224
Bacteria		Proteobacteria	NA	NA	NA	NA	NA	NA	Gammaproteobacteria	1236
Bacteria		Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA	NA	Enterobacterales	91347
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA	NA	Enterobacteriaceae	543
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Enterobacter	547
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Enterobacter	NA	Enterobacter cloacae	550
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Enterobacter	NA	Enterobacter asburiae	61645
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Pluralibacter	NA	[Enterobacter] lignolyticus	1334193
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Enterobacter	NA	Enterobacter sp. 638	399742
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Enterobacter	NA	Enterobacter sp. R4-368	1166130
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Klebsiella	570
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Klebsiella	NA	Klebsiella pneumoniae	573
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Klebsiella	NA	Klebsiella oxytoca	571
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Klebsiella	NA	Klebsiella aerogenes	548
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Klebsiella	NA	Klebsiella variicola	244366
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Escherichia	561
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Escherichia	NA	Escherichia coli	562
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Cronobacter	NA	Cronobacter sakazakii	28141
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Cronobacter	NA	Cronobacter turicensis	413502
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Salmonella	590
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Salmonella	NA	Salmonella enterica	28901
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Salmonella	NA	Salmonella bongori	54736
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Citrobacter	NA	Citrobacter koseri	545
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Citrobacter	NA	Citrobacter rodentium	67825
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Shigella	NA	Shigella flexneri	623
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Shigella	NA	Shigella dysenteriae	622
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Shigella	NA	Shigella boydii	621
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Raoultella	NA	Raoultella ornithinolytica	54291
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Enterobacteriaceae bacterium strain FGI 57	693444
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	NA	NA	Plautia stali symbiont	891974
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	NA	Shimwellia	NA	Shimwellia blattae	563
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	Erwinia	NA	Erwinia billingiae	182337
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	Erwinia	NA	Erwinia tasmaniensis	338565
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	Pantoea	NA	Pantoea ananatis	553
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	Pantoea	NA	Pantoea vagans	470934
Bacteria		Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	NA	Pantoea	NA	Pantoea sp. At-9b	592316
