library_id	count_per_gram	vlp_copy_per_gram	total_copy_per_gram
D3951	1.47E+09	0.00E+00	0.00E+00
D3851	1.14E+09	0.00E+00	0.00E+00
D3980	0.00E+00	0.00E+00	0.00E+00
D4010	0.00E+00	0.00E+00	0.00E+00
D3984	4.89E+07	0.00E+00	0.00E+00
D3961	7.34E+08	0.00E+00	0.00E+00
D3570	1.19E+06	0.00E+00	0.00E+00
D3854	1.16E+09	0.00E+00	0.00E+00
D3950	0.00E+00	5.58E+03	0.00E+00
D3450	0.00E+00	3.34E+03	0.00E+00
D3890	1.19E+06	3.26E+03	0.00E+00
D3750	0.00E+00	3.11E+03	0.00E+00
D3940	4.84E+08	2.77E+03	0.00E+00
D3330	2.76E+06	0.00E+00	0.00E+00
D3400	1.40E+06	0.00E+00	0.00E+00
D3590	1.69E+06	0.00E+00	0.00E+00
D3650	0.00E+00	0.00E+00	0.00E+00
D3680	2.50E+05	0.00E+00	0.00E+00
D3730	9.95E+05	0.00E+00	0.00E+00
D3964	4.44E+09	0.00E+00	0.00E+00
D4004	4.19E+08	0.00E+00	0.00E+00
D3760	1.76E+06	5.14E+03	2.50E+03
D3754	3.85E+08	2.19E+04	2.78E+03
D3850	1.31E+07	1.19E+05	3.48E+04
D3960	0.00E+00	3.63E+05	2.15E+06
D3654	1.62E+09	2.65E+06	2.26E+06
D4000	0.00E+00	1.57E+05	4.36E+06
D4280	0.00E+00	1.25E+04	6.84E+06
D3944	1.91E+08	1.63E+04	1.07E+07
D3941	4.52E+09	1.71E+06	1.93E+07
D3894	3.31E+08	4.57E+05	2.09E+07
D3591	4.56E+08	5.46E+06	2.93E+07
D3981	0.00E+00	1.41E+06	3.22E+07
D3401	7.89E+08	7.13E+05	3.40E+07
D3571	4.43E+08	2.36E+05	6.91E+07
D3594	5.54E+09	6.23E+06	7.79E+07
D3521	4.04E+08	8.41E+04	8.41E+07
D4011	5.54E+07	1.63E+04	1.12E+08
D4284	1.19E+10	1.11E+06	1.72E+08
D3734	1.06E+07	2.85E+05	1.93E+08
D3751	4.85E+07	1.58E+05	1.98E+08
D3764	1.29E+09	6.34E+04	3.02E+08
D3891	1.73E+09	0.00E+00	3.07E+08
D3761	2.78E+09	2.30E+05	3.70E+08
D3651	5.43E+08	6.99E+05	4.52E+08
D3574	5.30E+08	7.43E+05	4.73E+08
D3681	2.67E+09	2.88E+05	5.59E+08
D3404	1.04E+09	1.97E+05	6.33E+08
D3451	6.68E+09	3.69E+04	6.99E+08
D4001	2.29E+09	3.07E+05	7.96E+08
D4014	1.18E+09	1.08E+05	8.79E+08
D3331	3.19E+08	1.63E+04	8.96E+08
D3684	1.25E+09	7.74E+05	1.06E+09
D3731	9.82E+07	2.30E+06	1.18E+09
D4281	3.97E+09	2.82E+06	1.29E+09
D3524	2.35E+09	0.00E+00	1.33E+09
D3954	4.55E+08	4.37E+05	1.69E+09
D3454	4.49E+09	2.15E+04	3.54E+09
D3520	7.83E+08	1.21E+05	5.38E+09
D3334	6.88E+09	6.35E+04	1.60E+10
