target	acc	tlen	query	qlen	evalue
FtsH_ext	PF06480.15	109	DDH.contig1_1	111	0.021
SBP_bac_3	PF00497.20	225	DDH.contig1_2	267	2.4e-55
Lig_chan-Glu_bd	PF10613.9	115	DDH.contig1_2	267	9e-10
SBP_bac_3	PF00497.20	225	DDH.contig1_3	261	5.6e-51
Lig_chan-Glu_bd	PF10613.9	115	DDH.contig1_3	261	8e-07
Glycos_transf_2	PF00535.26	170	DDH.contig1_4	857	3.5e-22
Glyco_trans_2_3	PF13632.6	197	DDH.contig1_4	857	2.4e-09
Glyco_transf_21	PF13506.6	173	DDH.contig1_4	857	2.4e-08
MdoG	PF04349.12	477	DDH.contig1_5	584	8.1e-193
Tyr_Deacylase	PF02580.16	144	DDH.contig1_6	146	1.7e-50
Abhydrolase_1	PF00561.20	257	DDH.contig1_7	324	2.4e-34
Abhydrolase_6	PF12697.7	220	DDH.contig1_7	324	1.2e-14
Hydrolase_4	PF12146.8	239	DDH.contig1_7	324	2.8e-14
Ndr	PF03096.14	283	DDH.contig1_7	324	0.0013
Abhydrolase_4	PF08386.10	103	DDH.contig1_7	324	0.01
Peptidase_S28	PF05577.12	434	DDH.contig1_7	324	0.012
Abhydrolase_3	PF07859.13	211	DDH.contig1_8	312	3.7e-67
COesterase	PF00135.28	512	DDH.contig1_8	312	7.7e-06
Say1_Mug180	PF10340.9	374	DDH.contig1_8	312	6.2e-05
OpuAC	PF04069.12	257	DDH.contig1_9	316	7e-52
FGase	PF05013.12	216	DDH.contig1_10	267	1.7e-66
Amidohydro_1	PF01979.20	344	DDH.contig1_11	402	3.2e-22
Amidohydro_3	PF07969.11	473	DDH.contig1_11	402	1.3e-19
Amidohydro_3	PF07969.11	473	DDH.contig1_11	402	1.3e-19
AA_permease	PF00324.21	479	DDH.contig1_12	469	5.7e-106
AA_permease_2	PF13520.6	425	DDH.contig1_12	469	1.2e-39
Lyase_aromatic	PF00221.19	464	DDH.contig1_13	511	1e-183
Lyase_aromatic	PF00221.19	464	DDH.contig1_14	508	1.4e-163
ABC_tran	PF00005.27	137	DDH.contig1_15	275	7.9e-32
AAA_22	PF13401.6	137	DDH.contig1_15	275	1.4e-05
AAA_16	PF13191.6	170	DDH.contig1_15	275	7.5e-05
AAA_29	PF13555.6	61	DDH.contig1_15	275	0.00081
BPD_transp_1	PF00528.22	185	DDH.contig1_16	284	5.9e-25
Transp_cyt_pur	PF02133.15	440	DDH.contig1_17	480	5.6e-49
TauE	PF01925.19	236	DDH.contig2_1	86	1.3e-10
HPP	PF04982.13	122	DDH.contig2_1	86	0.038
LysR_substrate	PF03466.20	209	DDH.contig2_2	307	5.8e-41
HTH_1	PF00126.27	60	DDH.contig2_2	307	7.5e-16
