target	acc	tlen	query	qlen	evalue
LamB	PF02264.15	379	DT1.contig1_1	407	4.8e-122
Alpha-amylase	PF00128.24	337	DT1.contig1_2	549	7.3e-117
Malt_amylase_C	PF16657.5	75	DT1.contig1_2	549	2.4e-08
DUF3459	PF11941.8	91	DT1.contig1_2	549	5.7e-07
hDGE_amylase	PF14701.6	440	DT1.contig1_2	549	0.0067
PTS_EIIC	PF02378.18	324	DT1.contig1_3	481	4.6e-44
PTS_EIIB	PF00367.20	34	DT1.contig1_3	481	8.1e-13
UTRA	PF07702.13	141	DT1.contig1_4	235	6.4e-31
GntR	PF00392.21	64	DT1.contig1_4	235	2.8e-17
HTH_DeoR	PF08220.12	57	DT1.contig1_4	235	0.00011
HTH_41	PF14502.6	48	DT1.contig1_4	235	0.0031
DUF87	PF01935.17	227	DT1.contig1_5	583	1.5e-33
FtsK_SpoIIIE	PF01580.18	243	DT1.contig1_5	583	2.6e-07
TrwB_AAD_bind	PF10412.9	386	DT1.contig1_5	583	2.2e-05
DUF853	PF05872.12	504	DT1.contig1_5	583	4.5e-05
SIR2_2	PF13289.6	143	DT1.contig1_6	346	1.1e-11
Fic	PF02661.18	97	DT1.contig1_8	133	6.6e-05
GMP_synt_C	PF00958.22	92	DT1.contig1_10	526	1.5e-41
GATase	PF00117.28	190	DT1.contig1_10	526	2.2e-36
NAD_synthase	PF02540.17	242	DT1.contig1_10	526	2.5e-10
Peptidase_C26	PF07722.13	216	DT1.contig1_10	526	1.3e-07
tRNA_Me_trans	PF03054.16	356	DT1.contig1_10	526	4.4e-05
Asn_synthase	PF00733.21	355	DT1.contig1_10	526	0.0032
ATP_bind_3	PF01171.20	182	DT1.contig1_10	526	0.008
IMPDH	PF00478.25	345	DT1.contig1_11	490	4.1e-166
CBS	PF00571.28	57	DT1.contig1_11	490	1.5e-13
CBS	PF00571.28	57	DT1.contig1_11	490	1.5e-13
NMO	PF03060.15	331	DT1.contig1_11	490	8e-13
NMO	PF03060.15	331	DT1.contig1_11	490	8e-13
FMN_dh	PF01070.18	348	DT1.contig1_11	490	0.00037
TauE	PF01925.19	236	DT1.contig1_13	269	3.2e-27
Phage_HK97_TLTM	PF06120.11	288	DT1.contig1_13	269	0.019
LysR_substrate	PF03466.20	209	DT1.contig1_14	297	1e-32
HTH_1	PF00126.27	60	DT1.contig1_14	297	8.3e-25
Exonuc_VII_L	PF02601.15	304	DT1.contig1_15	273	3.3e-64
tRNA_anti_2	PF13742.6	95	DT1.contig1_15	273	8.7e-29
tRNA_anti-codon	PF01336.25	76	DT1.contig1_15	273	6e-11
HTH_AsnC-type	PF13404.6	42	DT1.contig2_1	162	5.3e-12
AsnC_trans_reg	PF01037.21	75	DT1.contig2_1	162	4.3e-10
HTH_24	PF13412.6	48	DT1.contig2_1	162	9.8e-10
HTH_20	PF12840.7	61	DT1.contig2_1	162	0.0034
Tyrosinase	PF00264.20	222	DT1.contig2_2	609	5e-33
Aldo_ket_red	PF00248.21	294	DT1.contig2_5	268	8.3e-49
Response_reg	PF00072.24	112	DT1.contig2_6	144	0.0015
SBP_bac_3	PF00497.20	225	DT1.contig2_7	1212	1.1e-57
SBP_bac_3	PF00497.20	225	DT1.contig2_7	1212	1.1e-57
HATPase_c	PF02518.26	112	DT1.contig2_7	1212	1.9e-24
Response_reg	PF00072.24	112	DT1.contig2_7	1212	1.1e-20
HisKA	PF00512.25	67	DT1.contig2_7	1212	4e-15
PAS_4	PF08448.10	110	DT1.contig2_7	1212	1.9e-10
PAS	PF00989.25	113	DT1.contig2_7	1212	3.4e-08
Hpt	PF01627.23	85	DT1.contig2_7	1212	1.6e-06
PAS_8	PF13188.7	67	DT1.contig2_7	1212	4.5e-05
PAS_9	PF13426.7	104	DT1.contig2_7	1212	0.0029
Response_reg	PF00072.24	112	DT1.contig2_8	221	2.7e-27
GerE	PF00196.19	57	DT1.contig2_8	221	8.2e-17
Sigma70_r4_2	PF08281.12	54	DT1.contig2_8	221	0.0054
HTH_36	PF13730.6	55	DT1.contig2_8	221	0.0063
MgtC	PF02308.16	121	DT1.contig2_9	239	1.5e-35
Acetyltransf_1	PF00583.25	117	DT1.contig2_10	201	1.3e-06
Acetyltransf_10	PF13673.7	127	DT1.contig2_10	201	7.6e-05
FR47	PF08445.10	86	DT1.contig2_10	201	0.0056
FKBP_C	PF00254.28	94	DT1.contig2_11	114	5.7e-32
SLT	PF01464.20	117	DT1.contig2_12	207	0.0047
DUF2804	PF10974.8	326	DT1.contig2_12	207	0.014
tRNA-synt_1	PF00133.22	602	DT1.contig3_1	949	7.7e-217
Anticodon_1	PF08264.13	152	DT1.contig3_1	949	9.6e-46
Val_tRNA-synt_C	PF10458.9	66	DT1.contig3_1	949	2.3e-18
tRNA-synt_1g	PF09334.11	391	DT1.contig3_1	949	6.3e-15
tRNA-synt_1g	PF09334.11	391	DT1.contig3_1	949	6.3e-15
tRNA-synt_1_2	PF13603.6	185	DT1.contig3_1	949	5.6e-08
WcbI	PF18588.1	206	DT1.contig3_2	135	0.039
DNA_pol3_chi	PF04364.13	136	DT1.contig3_3	143	9.1e-38
Peptidase_M17	PF00883.21	311	DT1.contig3_4	497	6.9e-128
Peptidase_M17_N	PF02789.17	126	DT1.contig3_4	497	2.3e-28
LptF_LptG	PF03739.14	354	DT1.contig3_5	373	6.1e-75
LptF_LptG	PF03739.14	354	DT1.contig3_6	360	7e-63
GTP_EFTU	PF00009.27	194	DT1.contig3_7	600	4.1e-51
LepA_C	PF06421.12	107	DT1.contig3_7	600	3.3e-50
EFG_C	PF00679.24	89	DT1.contig3_7	600	2.9e-20
GTP_EFTU_D2	PF03144.25	74	DT1.contig3_7	600	7.1e-09
Ras	PF00071.22	162	DT1.contig3_7	600	2.5e-06
EFG_II	PF14492.6	75	DT1.contig3_7	600	1.8e-05
MMR_HSR1	PF01926.23	114	DT1.contig3_7	600	0.00016
Peptidase_S24	PF00717.23	70	DT1.contig3_8	285	3.5e-21
Peptidase_S26	PF10502.9	138	DT1.contig3_8	285	7.5e-07
Ribonucleas_3_3	PF14622.6	128	DT1.contig3_9	209	3e-34
Ribonuclease_3	PF00636.26	105	DT1.contig3_9	209	3.3e-21
