start	end	match	protein_name	ymax	ymin
1041	2420	-2	Phage-like protein	-1	-0.2
2425	4227	-8	Tail protein	-1	-0.2
4241	4975	-2	Hypothetical protein	-1	-0.2
4978	7452	-2	Phage-like protein	-1	-0.2
7465	8466	-7	Head protein	-1	-0.2
8538	9947	-7	Head protein	-1	-0.2
9954	10205	-2	Hypothetical protein	-1	-0.2
10327	10650	-2	Hypothetical protein	-1	-0.2
10653	10952	-2	Hypothetical protein	-1	-0.2
10974	11273	-2	Hypothetical protein	-1	-0.2
11314	11559	-2	Hypothetical protein	-1	-0.2
11564	11734	-2	Hypothetical protein	-1	-0.2
11747	12514	-9	Collar protein	-1	-0.2
12530	13231	-2	Phage-like protein	-1	-0.2
13356	13634	-2	Hypothetical protein	-1	-0.2
13637	13909	-2	Hypothetical protein	-1	-0.2
13915	14310	-2	Phage-like protein	-1	-0.2
14325	15146	-10	Fiber protein	-1	-0.2
15163	15399	-2	Hypothetical protein	-1	-0.2
15412	15987	-2	Hypothetical protein	-1	-0.2
16179	17351	-7	Head protein	-1	-0.2
17411	18421	-2	Hypothetical protein	-1	-0.2
18429	18992	-2	Hypothetical protein	-1	-0.2
19060	19248	-2	Hypothetical protein	-1	-0.2
19272	19496	-2	Hypothetical protein	-1	-0.2
19500	19769	-2	Hypothetical protein	-1	-0.2
19947	20111	-2	Hypothetical protein	-1	-0.2
20131	20979	-2	Phage-like protein	-1	-0.2
20993	21892	-2	Phage-like protein	-1	-0.2
21937	22206	-2	Hypothetical protein	-1	-0.2
22239	22697	-2	Hypothetical protein	-1	-0.2
22710	22988	-2	Hypothetical protein	-1	-0.2
22989	23324	-2	Hypothetical protein	-1	-0.2
23336	23638	-2	Hypothetical protein	-1	-0.2
23799	24221	-2	Phage-like protein	-1	-0.2
24226	24375	-2	Hypothetical protein	-1	-0.2
24392	24586	-2	Phage-like protein	-1	-0.2
24748	25482	2	Phage-like protein	1	0.2
25531	26514	-2	Hypothetical protein	-1	-0.2
26519	27421	-2	Hypothetical protein	-1	-0.2
27730	28533	2	Phage-like protein	1	0.2
