start	end	protein_name	ymax	ymin
106139	106150	Attachment site	1	0.2
106194	107279	Hypothetical protein	-1	-0.2
107282	107488	Phage-like protein	-1	-0.2
107491	107724	Hypothetical protein	-1	-0.2
107759	107869	Hypothetical protein	-1	-0.2
107896	108270	Hypothetical protein	-1	-0.2
108286	108804	Hypothetical protein	-1	-0.2
108849	109166	Hypothetical protein	-1	-0.2
109168	109455	Hypothetical protein	-1	-0.2
109469	110383	Phage-like protein	-1	-0.2
110402	113209	Hypothetical protein	-1	-0.2
113236	113940	Tail protein	-1	-0.2
113943	116240	Hypothetical protein	-1	-0.2
116256	116366	Hypothetical protein	-1	-0.2
116432	116800	Hypothetical protein	-1	-0.2
116887	117525	Hypothetical protein	-1	-0.2
117531	117866	Hypothetical protein	-1	-0.2
117883	118167	Hypothetical protein	-1	-0.2
118211	118495	Hypothetical protein	-1	-0.2
118515	118781	Hypothetical protein	-1	-0.2
118783	118872	Hypothetical protein	-1	-0.2
118932	120020	Hypothetical protein	-1	-0.2
120092	120724	Hypothetical protein	-1	-0.2
120747	121928	Hypothetical protein	-1	-0.2
121943	123634	Hypothetical protein	-1	-0.2
123636	123998	Hypothetical protein	-1	-0.2
124084	124416	Hypothetical protein	-1	-0.2
124490	124576	Hypothetical protein	-1	-0.2
124652	124750	Hypothetical protein	-1	-0.2
124995	125067	tRNA	1	0.2
125134	125271	Hypothetical protein	1	0.2
125307	125570	Hypothetical protein	-1	-0.2
125714	125839	Hypothetical protein	-1	-0.2
125844	126311	Phage-like protein	-1	-0.2
126410	126538	Hypothetical protein	-1	-0.2
126650	126850	Hypothetical protein	-1	-0.2
127033	127536	Hypothetical protein	-1	-0.2
127548	127727	Hypothetical protein	-1	-0.2
127882	128190	Hypothetical protein	-1	-0.2
128191	128529	Phage-like protein	-1	-0.2
128555	128695	Hypothetical protein	-1	-0.2
128757	128963	Hypothetical protein	-1	-0.2
128983	129144	Hypothetical protein	-1	-0.2
129233	129310	Hypothetical protein	-1	-0.2
129322	129849	Phage-like protein	-1	-0.2
129854	130711	Phage-like protein	-1	-0.2
130716	131357	Hypothetical protein	-1	-0.2
131362	132378	Hypothetical protein	-1	-0.2
132390	132974	Phage-like protein	-1	-0.2
133028	133138	Hypothetical protein	-1	-0.2
133172	133345	Hypothetical protein	-1	-0.2
133357	133542	Hypothetical protein	-1	-0.2
133553	134329	Hypothetical protein	-1	-0.2
134499	134594	Hypothetical protein	1	0.2
134666	134947	Hypothetical protein	-1	-0.2
135005	135334	Hypothetical protein	-1	-0.2
135350	135553	Hypothetical protein	-1	-0.2
135568	136353	Phage-like protein	-1	-0.2
136638	136958	Hypothetical protein	1	0.2
136964	137398	Hypothetical protein	1	0.2
137486	138004	Hypothetical protein	1	0.2
138059	138070	Attachment site	1	0.2
138129	139310	Integrase	1	0.2
