target	acc	tlen	query	qlen	evalue
Phage_tail_T	PF06223.12	100	DB.contig1_1	88	3.3e-27
Phage_TAC_2	PF06894.11	126	DB.contig1_2	132	4.4e-18
Phage_TTP_12	PF16461.5	134	DB.contig1_3	161	2.1e-55
Phage_tail_3	PF08813.11	165	DB.contig1_3	161	0.00047
Phage_tail_U	PF06141.11	132	DB.contig1_4	133	6.7e-48
Minor_tail_Z	PF06763.11	190	DB.contig1_5	184	1.7e-62
Gifsy-2	PF13856.6	99	DB.contig1_6	98	5.5e-13
DUF2190	PF09956.9	102	DB.contig1_7	109	1.9e-16
CLP_protease	PF00574.23	182	DB.contig1_8	672	5.2e-39
Mu-like_gpT	PF10124.9	289	DB.contig1_8	672	2.1e-08
Mu-like_gpT	PF10124.9	289	DB.contig1_8	672	2.1e-08
SDH_sah	PF01972.16	286	DB.contig1_8	672	7.8e-06
Phage_portal_2	PF05136.13	362	DB.contig1_9	500	8.3e-80
ZapB	PF06005.12	71	DB.contig1_10	72	0.062
Terminase_GpA	PF05876.12	558	DB.contig1_11	703	6.4e-174
DUF4379	PF14311.6	56	DB.contig1_11	703	0.01
DUF1441	PF07278.11	149	DB.contig1_12	164	3.6e-49
HTH_30	PF13556.6	59	DB.contig1_12	164	0.017
Tudor-knot	PF11717.8	55	DB.contig1_13	62	0.018
SmpA_OmlA	PF04355.13	71	DB.contig1_14	150	1.3e-05
DUF3192	PF11399.8	101	DB.contig1_14	150	0.0036
CAP_assoc_N	PF14504.6	140	DB.contig1_14	150	0.021
DUF3552	PF12072.8	201	DB.contig1_16	92	0.00012
ATP-synt_E	PF05680.12	96	DB.contig1_16	92	0.0021
Glyco_hydro_108	PF05838.12	85	DB.contig1_18	181	7.1e-25
PG_binding_3	PF09374.10	76	DB.contig1_18	181	2.2e-22
Phage_holin_3_1	PF05106.12	99	DB.contig1_19	118	2.5e-26
N6_N4_Mtase	PF01555.18	231	DB.contig1_20	351	5.4e-39
MarR_2	PF12802.7	62	DB.contig1_21	65	0.00014
DprA_WH	PF17782.1	61	DB.contig1_21	65	0.00049
TrmB	PF01978.19	68	DB.contig1_21	65	0.0029
HTH_20	PF12840.7	61	DB.contig1_21	65	0.011
Phage_antiter_Q	PF06323.11	222	DB.contig1_22	136	3.6e-30
LysE	PF01810.18	193	DB.contig2_1	99	5.8e-20
Pro_CA	PF00484.19	156	DB.contig2_2	212	1.7e-47
DUF1471	PF07338.13	56	DB.contig2_3	70	4.8e-08
PepSY_2	PF13670.6	84	DB.contig2_3	70	0.024
