target	acc	tlen	query	qlen	evalue
4PPT_N	PF17837.1	68	DPPL.contig1_1	252	3.1e-19
4PPT_N	PF17837.1	68	DPPL.contig1_1	252	3.1e-19
ACPS	PF01648.20	114	DPPL.contig1_1	252	1.5e-11
ACPS	PF01648.20	114	DPPL.contig1_1	252	1.5e-11
ACPS	PF01648.20	114	DPPL.contig1_1	252	1.5e-11
DDE_Tnp_1	PF01609.21	214	DPPL.contig1_3	371	7.3e-30
HOK_GEF	PF01848.16	42	DPPL.contig1_4	84	1.4e-16
GCS2	PF04107.13	291	DPPL.contig1_5	373	7.1e-94
GCS2	PF04107.13	291	DPPL.contig1_5	373	7.1e-94
Glu_cys_ligase	PF04262.14	372	DPPL.contig1_5	373	0.001
DUF1158	PF06643.11	79	DPPL.contig1_6	83	1.2e-45
YjbR	PF04237.13	86	DPPL.contig1_7	123	1.1e-20
Nitroreductase	PF00881.24	170	DPPL.contig1_8	218	1.6e-33
TM1586_NiRdase	PF14512.6	215	DPPL.contig1_8	218	0.00012
MS_channel	PF00924.18	206	DPPL.contig1_9	416	4.1e-74
BatA	PF07584.11	77	DPPL.contig1_9	416	0.056
BatA	PF07584.11	77	DPPL.contig1_9	416	0.056
BatA	PF07584.11	77	DPPL.contig1_9	416	0.056
Otopetrin	PF03189.13	445	DPPL.contig1_9	416	1.4
AA_permease	PF00324.21	479	DPPL.contig1_10	459	8.3e-119
AA_permease_2	PF13520.6	425	DPPL.contig1_10	459	1.4e-43
ACR_tran	PF00873.19	1021	DPPL.contig1_11	1048	1.2e-238
MMPL	PF03176.15	333	DPPL.contig1_11	1048	0.00071
MMPL	PF03176.15	333	DPPL.contig1_11	1048	0.00071
HlyD_D23	PF16576.5	214	DPPL.contig1_12	408	1.7e-58
HlyD_D4	PF16572.5	56	DPPL.contig1_12	408	6.5e-30
HlyD_D4	PF16572.5	56	DPPL.contig1_12	408	6.5e-30
HlyD_3	PF13437.6	106	DPPL.contig1_12	408	1.5e-12
HlyD_3	PF13437.6	106	DPPL.contig1_12	408	1.5e-12
HlyD	PF00529.20	80	DPPL.contig1_12	408	4.3e-11
DUF2717	PF10911.8	77	DPPL.contig1_12	408	0.068
DUF2717	PF10911.8	77	DPPL.contig1_12	408	0.068
Biotin_lipoyl	PF00364.22	73	DPPL.contig1_12	408	0.07
Biotin_lipoyl	PF00364.22	73	DPPL.contig1_12	408	0.07
CusF_Ec	PF11604.8	68	DPPL.contig1_13	111	9.2e-22
OapA	PF04225.12	85	DPPL.contig1_13	111	0.12
OapA	PF04225.12	85	DPPL.contig1_13	111	0.12
OEP	PF02321.18	188	DPPL.contig1_14	458	4.4e-51
OEP	PF02321.18	188	DPPL.contig1_14	458	4.4e-51
Response_reg	PF00072.24	112	DPPL.contig1_15	228	3.7e-27
Trans_reg_C	PF00486.28	77	DPPL.contig1_15	228	3.8e-26
MutS_I	PF01624.20	113	DPPL.contig1_15	228	0.13
Fibroin_P25	PF07294.11	196	DPPL.contig1_15	228	0.14
Fibroin_P25	PF07294.11	196	DPPL.contig1_15	228	0.14
HATPase_c	PF02518.26	112	DPPL.contig1_16	481	9.8e-22
HisKA	PF00512.25	67	DPPL.contig1_16	481	4.7e-11
HAMP	PF00672.25	53	DPPL.contig1_16	481	1.2e-09
HATPase_c_5	PF14501.6	101	DPPL.contig1_16	481	2.2e-05
HATPase_c_2	PF13581.6	125	DPPL.contig1_16	481	0.011
Glyco_trans_2_3	PF13632.6	197	DPPL.contig1_17	746	5.2e-46
Glyco_trans_2_3	PF13632.6	197	DPPL.contig1_17	746	5.2e-46
Glyco_tranf_2_3	PF13641.6	230	DPPL.contig1_17	746	4.7e-34
T2SSE_N	PF05157.15	109	DPPL.contig1_17	746	2.9e-18
T2SSE_N	PF05157.15	109	DPPL.contig1_17	746	2.9e-18
T2SSE_N	PF05157.15	109	DPPL.contig1_17	746	2.9e-18
FumaraseC_C	PF10415.9	54	DPPL.contig1_17	746	0.023
FumaraseC_C	PF10415.9	54	DPPL.contig1_17	746	0.023
FumaraseC_C	PF10415.9	54	DPPL.contig1_17	746	0.023
NfrA_C	PF13283.6	173	DPPL.contig1_18	991	1.3e-52
NfrA_C	PF13283.6	173	DPPL.contig1_18	991	1.3e-52
NfrA_C	PF13283.6	173	DPPL.contig1_18	991	1.3e-52
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_19	PF14559.6	68	DPPL.contig1_18	991	1.1e-08
TPR_15	PF13429.6	280	DPPL.contig1_18	991	1.8e-07
TPR_15	PF13429.6	280	DPPL.contig1_18	991	1.8e-07
TPR_15	PF13429.6	280	DPPL.contig1_18	991	1.8e-07
TPR_15	PF13429.6	280	DPPL.contig1_18	991	1.8e-07
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_14	PF13428.6	44	DPPL.contig1_18	991	5.1e-06
TPR_1	PF00515.28	34	DPPL.contig1_18	991	9.1e-05
TPR_1	PF00515.28	34	DPPL.contig1_18	991	9.1e-05
TPR_1	PF00515.28	34	DPPL.contig1_18	991	9.1e-05
TPR_1	PF00515.28	34	DPPL.contig1_18	991	9.1e-05
TPR_1	PF00515.28	34	DPPL.contig1_18	991	9.1e-05
TPR_8	PF13181.6	34	DPPL.contig1_18	991	0.00042
TPR_8	PF13181.6	34	DPPL.contig1_18	991	0.00042
TPR_8	PF13181.6	34	DPPL.contig1_18	991	0.00042
TPR_8	PF13181.6	34	DPPL.contig1_18	991	0.00042
TPR_8	PF13181.6	34	DPPL.contig1_18	991	0.00042
TPR_11	PF13414.6	42	DPPL.contig1_18	991	0.00077
TPR_11	PF13414.6	42	DPPL.contig1_18	991	0.00077
TPR_11	PF13414.6	42	DPPL.contig1_18	991	0.00077
TPR_11	PF13414.6	42	DPPL.contig1_18	991	0.00077
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_2	PF07719.17	34	DPPL.contig1_18	991	0.0066
TPR_9	PF13371.6	73	DPPL.contig1_18	991	0.012
TPR_9	PF13371.6	73	DPPL.contig1_18	991	0.012
TPR_9	PF13371.6	73	DPPL.contig1_18	991	0.012
TPR_9	PF13371.6	73	DPPL.contig1_18	991	0.012
TPR_9	PF13371.6	73	DPPL.contig1_18	991	0.012
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_12	PF13424.6	77	DPPL.contig1_18	991	0.069
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_17	PF13431.6	34	DPPL.contig1_18	991	0.11
TPR_4	PF07721.14	26	DPPL.contig1_18	991	0.13
TPR_4	PF07721.14	26	DPPL.contig1_18	991	0.13
TPR_4	PF07721.14	26	DPPL.contig1_18	991	0.13
TPR_4	PF07721.14	26	DPPL.contig1_18	991	0.13
TPR_10	PF13374.6	42	DPPL.contig1_18	991	1.4
TPR_10	PF13374.6	42	DPPL.contig1_18	991	1.4
TPR_10	PF13374.6	42	DPPL.contig1_18	991	1.4
TPR_10	PF13374.6	42	DPPL.contig1_18	991	1.4
TPR_10	PF13374.6	42	DPPL.contig1_18	991	1.4
DUF4434	PF14488.6	167	DPPL.contig1_19	297	7.6e-34
LPAM_1	PF08139.12	18	DPPL.contig1_19	297	1.1
HTH_AraC	PF00165.23	42	DPPL.contig1_20	254	3e-19
HTH_AraC	PF00165.23	42	DPPL.contig1_20	254	3e-19
HTH_18	PF12833.7	81	DPPL.contig1_20	254	2.8e-15
HTH_18	PF12833.7	81	DPPL.contig1_20	254	2.8e-15
PUL	PF08324.11	277	DPPL.contig1_20	254	0.02
HTH_Tnp_ISL3	PF13542.6	52	DPPL.contig1_20	254	0.051
Omptin	PF01278.20	283	DPPL.contig1_21	318	3.3e-122
Pom	PF17251.2	279	DPPL.contig1_21	318	0.011
Pom	PF17251.2	279	DPPL.contig1_21	318	0.011
Pom	PF17251.2	279	DPPL.contig1_21	318	0.011
BBP2_2	PF10082.9	379	DPPL.contig1_21	318	4.8
HTH_18	PF12833.7	81	DPPL.contig1_22	250	6.9e-15
HTH_AraC	PF00165.23	42	DPPL.contig1_22	250	2.7e-13
HTH_AraC	PF00165.23	42	DPPL.contig1_22	250	2.7e-13
Caudo_TAP	PF02413.17	130	DPPL.contig1_23	62	8.1e-07
PBP	PF01161.20	132	DPPL.contig2_1	159	1.3e-38
Aminotran_3	PF00202.21	406	DPPL.contig2_2	430	1.1e-133
Beta_elim_lyase	PF01212.21	293	DPPL.contig2_2	430	0.012
DUF3652	PF12372.8	41	DPPL.contig2_2	430	0.032
DUF3652	PF12372.8	41	DPPL.contig2_2	430	0.032
BATS	PF06968.13	86	DPPL.contig2_3	347	4.9e-21
Radical_SAM	PF04055.21	167	DPPL.contig2_3	347	7.5e-19
Radical_SAM	PF04055.21	167	DPPL.contig2_3	347	7.5e-19
Aminotran_1_2	PF00155.21	363	DPPL.contig2_4	385	1.3e-69
Beta_elim_lyase	PF01212.21	293	DPPL.contig2_4	385	9.8e-05
Beta_elim_lyase	PF01212.21	293	DPPL.contig2_4	385	9.8e-05
Beta_elim_lyase	PF01212.21	293	DPPL.contig2_4	385	9.8e-05
Cys_Met_Meta_PP	PF01053.20	382	DPPL.contig2_4	385	0.0015
Aminotran_5	PF00266.19	371	DPPL.contig2_4	385	0.042
DegT_DnrJ_EryC1	PF01041.17	361	DPPL.contig2_4	385	0.07
DegT_DnrJ_EryC1	PF01041.17	361	DPPL.contig2_4	385	0.07
DegT_DnrJ_EryC1	PF01041.17	361	DPPL.contig2_4	385	0.07
Methyltransf_11	PF08241.12	96	DPPL.contig2_5	252	2.1e-23
Methyltransf_25	PF13649.6	97	DPPL.contig2_5	252	4.8e-19
Methyltransf_31	PF13847.6	152	DPPL.contig2_5	252	2e-13
Methyltransf_23	PF13489.6	165	DPPL.contig2_5	252	1.1e-12
Methyltransf_12	PF08242.12	99	DPPL.contig2_5	252	1.7e-10
Ubie_methyltran	PF01209.18	233	DPPL.contig2_5	252	6.6e-08
Methyltransf_8	PF05148.15	219	DPPL.contig2_5	252	0.00013
MTS	PF05175.14	169	DPPL.contig2_5	252	0.0007
MetW	PF07021.12	193	DPPL.contig2_5	252	0.018
Methyltransf_29	PF03141.16	506	DPPL.contig2_5	252	0.038
NodS	PF05401.11	201	DPPL.contig2_5	252	0.041
CMAS	PF02353.20	273	DPPL.contig2_5	252	0.042
CMAS	PF02353.20	273	DPPL.contig2_5	252	0.042
