target	acc	tlen	query	qlen	evalue
DDE_1	PF03184.19	175	DD2.contig1_2	772	3.2e-09
Hid1	PF12722.7	812	DD2.contig1_3	460	0.11
DAP3	PF10236.9	312	DD2.contig1_9	621	3.8e-09
AAA_29	PF13555.6	61	DD2.contig1_11	112	0.013
IstB_IS21	PF01695.17	178	DD2.contig1_11	112	0.023
DDE_Tnp_4	PF13359.6	158	DD2.contig1_14	210	4.2e-10
DDE_Tnp_1	PF01609.21	214	DD2.contig1_14	210	0.00014
DDE_Tnp_1_2	PF13586.6	90	DD2.contig1_14	210	0.011
AAA_8	PF12780.7	260	DD2.contig1_14	210	0.02
WWE	PF02825.20	68	DD2.contig1_19	69	7.4e-09
GMC_oxred_N	PF00732.19	296	DD2.contig1_21	579	8e-33
GMC_oxred_C	PF05199.13	144	DD2.contig1_21	579	1.1e-15
Lycopene_cycl	PF05834.12	380	DD2.contig1_21	579	0.0043
NAD_binding_8	PF13450.6	68	DD2.contig1_21	579	0.005
p450	PF00067.22	463	DD2.contig1_22	153	2.6e-32
DUF2781	PF10914.8	147	DD2.contig1_23	132	2.4e-07
PCMT	PF01135.19	210	DD2.contig2_2	258	1.6e-14
Methyltransf_31	PF13847.6	152	DD2.contig2_2	258	4.4e-14
Methyltransf_25	PF13649.6	97	DD2.contig2_2	258	5.7e-10
MTS	PF05175.14	169	DD2.contig2_2	258	5.2e-07
Ubie_methyltran	PF01209.18	233	DD2.contig2_2	258	4.2e-06
Methyltransf_23	PF13489.6	165	DD2.contig2_2	258	1.2e-05
GCD14	PF08704.10	247	DD2.contig2_2	258	2.2e-05
Methyltr_RsmB-F	PF01189.17	200	DD2.contig2_2	258	3.3e-05
Methyltransf_12	PF08242.12	99	DD2.contig2_2	258	4e-05
Methyltransf_11	PF08241.12	96	DD2.contig2_2	258	6.7e-05
Methyltransf_32	PF13679.6	158	DD2.contig2_2	258	0.00073
FtsJ	PF01728.19	177	DD2.contig2_2	258	0.0011
Methyltransf_20	PF12147.8	309	DD2.contig2_2	258	0.0012
RPN6_C_helix	PF18503.1	27	DD2.contig2_6	459	0.026
Peptidase_S41	PF03572.18	166	DD2.contig2_7	283	0.025
ArsA_ATPase	PF02374.15	305	DD2.contig2_8	196	4.6e-54
ArsA_ATPase	PF02374.15	305	DD2.contig2_9	57	0.00039
ArsA_ATPase	PF02374.15	305	DD2.contig2_10	159	2.7e-28
AAA_31	PF13614.6	177	DD2.contig2_10	159	1.1e-09
CbiA	PF01656.23	128	DD2.contig2_10	159	5.9e-09
CBP_BcsQ	PF06564.12	234	DD2.contig2_10	159	7.7e-06
Fer4_NifH	PF00142.18	271	DD2.contig2_10	159	9e-05
ParA	PF10609.9	246	DD2.contig2_10	159	0.00022
SRP54	PF00448.22	196	DD2.contig2_10	159	0.001
NB-ARC	PF00931.22	252	DD2.contig2_10	159	0.0066
RabGAP-TBC	PF00566.18	215	DD2.contig2_12	184	0.04
RabGAP-TBC	PF00566.18	215	DD2.contig2_13	222	3e-08
DEAD	PF00270.29	176	DD2.contig2_19	799	5.1e-45
Helicase_C	PF00271.31	111	DD2.contig2_19	799	2.8e-22
DUF4217	PF13959.6	61	DD2.contig2_19	799	1.2e-14
DUF3246	PF11596.8	243	DD2.contig2_19	799	0.0078
RNase_H	PF00075.24	143	DD2.contig3_1	178	1.6e-31
FbpC_C_terminal	PF17845.1	55	DD2.contig3_5	654	0.015
Condensation	PF00668.20	457	DD2.contig4_1	688	4.6e-38
Thioesterase	PF00975.20	231	DD2.contig4_1	688	3.3e-10
Abhydrolase_6	PF12697.7	220	DD2.contig4_1	688	0.00026
W2	PF02020.18	79	DD2.contig4_2	106	0.054
GluR_Homer-bdg	PF10606.9	51	DD2.contig4_6	83	0.058
Ras	PF00071.22	162	DD2.contig4_11	537	1.2e-27
Roc	PF08477.13	120	DD2.contig4_11	537	8.1e-10
AdoHcyase	PF05221.17	299	DD2.contig4_15	122	1.6e-34
AdoHcyase_NAD	PF00670.21	162	DD2.contig4_15	122	2.5e-11
IMS	PF00817.20	150	DD2.contig5_1	430	2.1e-30
DUF4113	PF13438.6	51	DD2.contig5_1	430	2.1e-18
IMS_C	PF11799.8	118	DD2.contig5_1	430	1.1e-10
IMS_HHH	PF11798.8	32	DD2.contig5_1	430	0.0007
Cdd1	PF11731.8	86	DD2.contig5_1	430	0.0021
Mrr_cat	PF04471.12	115	DD2.contig5_2	311	3.6e-30
zf-C4_Topoisom	PF01396.19	39	DD2.contig5_2	311	2.5e-05
Mrr_cat_2	PF13156.6	127	DD2.contig5_2	311	0.00011
DUF2034	PF10356.9	185	DD2.contig5_2	311	0.0059
MTES_1575	PF18741.1	95	DD2.contig5_2	311	0.0069
Acyl_transf_3	PF01757.22	340	DD2.contig5_3	106	0.028
TraA	PF05513.11	120	DD2.contig5_5	100	0.031
Zn-ribbon_8	PF09723.10	40	DD2.contig5_12	61	2.1e-07
SRAP	PF02586.14	219	DD2.contig5_13	216	1.1e-33
ThrE	PF06738.12	241	DD2.contig5_17	346	0.095
IMS_C	PF11799.8	118	DD2.contig5_18	302	1.1e-09
DUF4113	PF13438.6	51	DD2.contig5_18	302	2.2e-08
IMS_HHH	PF11798.8	32	DD2.contig5_18	302	0.0007
NAM-associated	PF14303.6	167	DD2.contig6_1	216	0.031
7tm_3	PF00003.22	237	DD2.contig6_3	786	3.8e-39
Peripla_BP_6	PF13458.6	342	DD2.contig6_3	786	5e-07
GMC_oxred_N	PF00732.19	296	DD2.contig6_4	592	6.9e-67
