start	end	protein_name	ymax	ymin
127633	127644	Attachment site	1	0.2
138284	139585	Phage-like protein	-1	-0.2
139588	139794	Phage-like protein	-1	-0.2
139797	140051	Phage-like protein	-1	-0.2
140074	140607	Hypothetical protein	-1	-0.2
140608	141615	Hypothetical protein	-1	-0.2
141626	142582	Hypothetical protein	-1	-0.2
142711	143586	Tail protein	-1	-0.2
143600	146686	Tail protein	-1	-0.2
146749	146973	Phage-like protein	-1	-0.2
147063	147503	Hypothetical protein	-1	-0.2
147562	148401	Hypothetical protein	-1	-0.2
148508	148891	Hypothetical protein	-1	-0.2
148895	149248	Hypothetical protein	-1	-0.2
149313	149567	Hypothetical protein	-1	-0.2
149651	150193	Hypothetical protein	-1	-0.2
150197	150349	Hypothetical protein	-1	-0.2
150487	151350	Head protein	-1	-0.2
151366	151938	Phage-like protein	-1	-0.2
152075	152374	Hypothetical protein	-1	-0.2
152421	152720	Hypothetical protein	-1	-0.2
152753	154285	Head protein	-1	-0.2
154383	155915	Portal protein	-1	-0.2
155930	157162	Terminase	-1	-0.2
157183	157656	Terminase	-1	-0.2
157663	157887	Hypothetical protein	-1	-0.2
158024	158542	Hypothetical protein	-1	-0.2
158551	159804	Phage-like protein	-1	-0.2
159826	159918	Phage-like protein	-1	-0.2
159927	160292	Hypothetical protein	-1	-0.2
160639	163071	Phage-like protein	-1	-0.2
163087	163326	Hypothetical protein	-1	-0.2
163339	165126	Phage-like protein	-1	-0.2
165297	165812	Hypothetical protein	-1	-0.2
165832	166056	Hypothetical protein	-1	-0.2
166109	166684	Hypothetical protein	-1	-0.2
166711	167040	Hypothetical protein	-1	-0.2
167042	168214	Hypothetical protein	-1	-0.2
168217	168651	Hypothetical protein	-1	-0.2
168683	168865	Hypothetical protein	-1	-0.2
168909	169589	Hypothetical protein	-1	-0.2
169604	169885	Hypothetical protein	-1	-0.2
169917	170468	Phage-like protein	-1	-0.2
170482	170664	Hypothetical protein	-1	-0.2
170665	170838	Hypothetical protein	-1	-0.2
170844	171044	Hypothetical protein	-1	-0.2
171058	171252	Hypothetical protein	-1	-0.2
171256	171888	Hypothetical protein	-1	-0.2
171892	172086	Phage-like protein	-1	-0.2
172332	172679	Phage-like protein	1	0.2
172693	173106	Hypothetical protein	1	0.2
173129	173908	Hypothetical protein	1	0.2
173744	173755	Attachment site	1	0.2
174064	175278	Integrase	1	0.2
