target	acc	tlen	query	qlen	evalue
AAA_25	PF13481.6	194	D3331.contig1_3	362	3e-18
NACHT	PF05729.12	166	D3331.contig1_3	362	1.6e-05
ATPase	PF06745.13	231	D3331.contig1_3	362	2.1e-05
DnaB_C	PF03796.15	255	D3331.contig1_3	362	0.00013
CAP	PF00188.26	126	D3331.contig1_7	125	0.016
PAX	PF00292.18	125	D3331.contig1_8	73	0.012
SCP2	PF02036.17	101	D3331.contig1_9	66	0.13
DUF551	PF04448.12	69	D3331.contig1_18	122	6.6e-06
DNA_methylase	PF00145.17	335	D3331.contig1_27	610	3.4e-28
DNA_methylase	PF00145.17	335	D3331.contig1_27	610	3.4e-28
RP-C	PF03428.13	175	D3331.contig1_31	274	0.021
VRR_NUC	PF08774.11	108	D3331.contig1_32	118	1e-11
DUF4494	PF14902.6	139	D3331.contig1_33	136	2.2e-20
Baculo_p26	PF04766.12	234	D3331.contig1_34	74	0.061
NinB	PF05772.12	131	D3331.contig1_35	146	0.02
AAA_24	PF13479.6	197	D3331.contig1_38	296	3.2e-27
AAA_16	PF13191.6	170	D3331.contig1_38	296	0.00047
Zeta_toxin	PF06414.12	199	D3331.contig1_38	296	0.0016
Tropomyosin_1	PF12718.7	143	D3331.contig1_39	81	0.00055
Gate	PF07670.14	112	D3331.contig1_42	61	0.098
RuvA_N	PF01330.21	60	D3331.contig1_43	109	0.04
HTH_17	PF12728.7	51	D3331.contig1_44	71	0.00096
PaaX	PF07848.12	70	D3331.contig1_45	69	0.011
MUG113	PF13455.6	77	D3331.contig1_48	278	2.6e-08
T5orf172	PF10544.9	103	D3331.contig1_48	278	7.3e-08
DUF775	PF05603.12	199	D3331.contig1_49	121	0.12
TnpB_IS66	PF05717.13	101	D3331.contig1_50	112	1.6e-11
DDE_Tnp_IS66	PF03050.14	282	D3331.contig1_51	598	2.7e-52
DDE_Tnp_IS240	PF13610.6	140	D3331.contig1_51	598	0.00045
Golgin_A5	PF09787.9	306	D3331.contig1_51	598	0.008
ANT	PF03374.14	108	D3331.contig1_53	299	2.1e-27
Bro-N	PF02498.17	95	D3331.contig1_53	299	1.4e-16
DUF4088	PF13317.6	226	D3331.contig1_53	299	0.0015
Myosin_tail_1	PF01576.19	1081	D3331.contig1_53	299	0.0015
TFIIB_C_1	PF18542.1	98	D3331.contig1_53	299	0.0029
KfrA_N	PF11740.8	115	D3331.contig1_53	299	0.0046
DUF4407	PF14362.6	298	D3331.contig1_56	330	2.2e-41
HNH	PF01844.23	47	D3331.contig1_58	99	0.00021
HNHc_6	PF16784.5	200	D3331.contig1_58	99	0.001
Cytochrome_C7	PF14522.6	73	D3331.contig1_58	99	0.0063
Phage_min_cap2	PF06152.11	367	D3331.contig1_59	85	0.0012
HicB	PF05534.12	51	D3331.contig1_59	85	0.0034
RHH_4	PF13467.6	65	D3331.contig1_59	85	0.0083
RHH_1	PF01402.21	39	D3331.contig1_59	85	0.0084
YafQ_toxin	PF15738.5	88	D3331.contig1_60	90	3.8e-29
ParE_toxin	PF05016.15	90	D3331.contig1_60	90	2.1e-09
DUF2059	PF09832.9	60	D3331.contig1_61	79	0.013
Phage_int_SAM_5	PF13102.6	99	D3331.contig1_62	408	6.3e-18
Phage_int_SAM_4	PF13495.6	85	D3331.contig1_62	408	7.4e-05
Phage_integrase	PF00589.22	172	D3331.contig1_62	408	0.0059
HTH_7	PF02796.15	45	D3331.contig1_63	96	2.1e-06
CENP-B_N	PF04218.13	53	D3331.contig1_63	96	0.00036
HTH_29	PF13551.6	63	D3331.contig1_63	96	0.00089
HTH_28	PF13518.6	52	D3331.contig1_63	96	0.0019
Lipase_GDSL_2	PF13472.6	179	D3331.contig1_66	735	1.6e-14
Lipase_GDSL	PF00657.22	200	D3331.contig1_66	735	0.0004
Phage_prot_Gp6	PF05133.14	420	D3331.contig1_71	508	8.6e-27
Terminase_6	PF03237.15	215	D3331.contig1_73	914	3.3e-13
Hom_end	PF05204.14	110	D3331.contig1_73	914	6.5e-08
LAGLIDADG_3	PF14528.6	83	D3331.contig1_73	914	8.3e-08
Phage_cap_E	PF03864.15	333	D3331.contig1_76	393	1.9e-06
DNA_pol3_tau_4	PF12168.8	81	D3331.contig1_82	188	0.05
Phage_holin_4_1	PF05105.12	114	D3331.contig1_85	158	8.4e-06
DUF2809	PF10990.8	86	D3331.contig1_85	158	0.051
DUF2070	PF09843.9	564	D3331.contig1_86	151	0.028
PG_binding_3	PF09374.10	76	D3331.contig1_87	193	3.4e-18
Glyco_hydro_108	PF05838.12	85	D3331.contig1_87	193	5.1e-15
Bac_DnaA_C	PF08299.11	69	D3331.contig1_89	98	7.9e-05
Alfin	PF12165.8	127	D3331.contig1_95	141	0.1
Bro-N	PF02498.17	95	D3331.contig1_96	267	4e-05
PAZ	PF02170.22	137	D3331.contig1_97	133	0.016
Resolvase	PF00239.21	146	D3331.contig1_99	255	3.2e-27
Vault_2	PF17794.1	60	D3331.contig1_103	83	0.045
PsbX	PF06596.11	39	D3331.contig1_106	36	0.053
LPD29	PF18847.1	93	D3331.contig1_107	420	1.5e-09
CBM77	PF18283.1	109	D3331.contig1_107	420	0.0096
Pacs-1	PF10254.9	414	D3331.contig1_108	156	0.081
DUF2098	PF09871.9	94	D3331.contig1_112	114	0.0078
DUF848	PF05852.11	145	D3331.contig1_117	120	0.0017
