target	acc	tlen	query	qlen	evalue
adh_short_C2	PF13561.6	234	DGF1.contig1_1	216	3.5e-40
adh_short	PF00106.25	195	DGF1.contig1_1	216	3.5e-22
LysR_substrate	PF03466.20	209	DGF1.contig1_2	294	4.9e-36
HTH_1	PF00126.27	60	DGF1.contig1_2	294	1.5e-15
TonB_dep_Rec	PF00593.24	470	DGF1.contig1_3	745	4.8e-36
Plug	PF07715.15	108	DGF1.contig1_3	745	1.1e-12
DNA_pol_B	PF00136.21	459	DGF1.contig1_4	786	9.9e-42
DNA_pol_B_exo1	PF03104.19	337	DGF1.contig1_4	786	7.8e-12
Acetyltransf_3	PF13302.7	138	DGF1.contig1_5	193	1.6e-16
MazE_antitoxin	PF04014.18	46	DGF1.contig1_6	72	0.00049
GST_N	PF02798.20	76	DGF1.contig1_7	207	7e-07
GST_N_3	PF13417.6	75	DGF1.contig1_7	207	9.1e-07
GST_N_2	PF13409.6	70	DGF1.contig1_7	207	2.3e-06
DUF4174	PF13778.6	120	DGF1.contig1_8	194	1.5e-16
Acyl_transf_3	PF01757.22	340	DGF1.contig1_9	355	2.2e-20
MurJ	PF03023.14	452	DGF1.contig1_10	472	6.8e-44
Polysacc_synt_3	PF13440.6	293	DGF1.contig1_10	472	4.3e-11
Polysacc_synt_C	PF14667.6	143	DGF1.contig1_10	472	2.9e-07
MatE	PF01554.18	161	DGF1.contig1_10	472	0.00059
MatE	PF01554.18	161	DGF1.contig1_10	472	0.00059
Wzy_C	PF04932.15	155	DGF1.contig1_11	478	4.9e-05
Glycos_transf_1	PF00534.20	172	DGF1.contig1_12	368	1.1e-11
Glyco_trans_1_4	PF13692.6	134	DGF1.contig1_12	368	2e-09
Glyco_transf_4	PF13439.6	170	DGF1.contig1_12	368	2.9e-09
Glyco_trans_4_4	PF13579.6	160	DGF1.contig1_12	368	0.00034
Glyco_trans_1_4	PF13692.6	134	DGF1.contig1_13	406	6.2e-21
Glyco_trans_4_4	PF13579.6	160	DGF1.contig1_13	406	7e-19
Glyco_transf_4	PF13439.6	170	DGF1.contig1_13	406	7.5e-15
Glyco_trans_1_2	PF13524.6	92	DGF1.contig1_13	406	8.8e-09
Glycos_transf_1	PF00534.20	172	DGF1.contig1_13	406	6.7e-07
Cellulase	PF00150.18	281	DGF1.contig1_14	443	3.3e-10
Glyco_hydro_39	PF01229.17	486	DGF1.contig1_14	443	5.4e-07
Glyco_hydro_42	PF02449.15	374	DGF1.contig1_14	443	0.00017
Glycos_transf_1	PF00534.20	172	DGF1.contig1_15	397	2.4e-14
Glyco_trans_1_4	PF13692.6	134	DGF1.contig1_15	397	1.2e-10
Glyco_trans_4_4	PF13579.6	160	DGF1.contig1_15	397	0.0002
Glyco_transf_4	PF13439.6	170	DGF1.contig1_15	397	0.0025
Glyco_trans_1_2	PF13524.6	92	DGF1.contig1_15	397	0.0053
GNVR	PF13807.6	82	DGF1.contig1_16	664	7e-05
Wzz	PF02706.15	92	DGF1.contig1_16	664	0.00024
Phage_GP20	PF06810.11	149	DGF1.contig1_16	664	0.1
Poly_export	PF02563.16	82	DGF1.contig1_17	263	1.9e-15
Glycos_transf_2	PF00535.26	170	DGF1.contig1_18	304	2.5e-16
Glyco_tranf_2_3	PF13641.6	230	DGF1.contig1_18	304	1.4e-12
Glyco_trans_2_3	PF13632.6	197	DGF1.contig1_18	304	3.4e-07
Glyco_transf_21	PF13506.6	173	DGF1.contig1_18	304	0.0049
MannoseP_isomer	PF01050.18	151	DGF1.contig1_19	487	2.2e-65
NTP_transferase	PF00483.23	248	DGF1.contig1_19	487	1.4e-55
