ind	wgs	vlp.id	contig	Inducer	length	circularity	contig.length	unmmaped.reads.number	vlp.coverage	orf.number	uniprot.total.orf.number	uniprot.species	uniprot.species.orf.number	wgs.contig	pident	ind.len	wgs.len	alignment.len	ind.phage.total	ind.total	vlp.reads.number	vlp.total	shot.maptowgs.total	shotgun.total	shotgun.total.2	ratio
EN3854	wgs6	D3854	EN3854.contig1	No inducer	42919	circular	42919	1585	1	66	66	Enterococcus phage phiEf11	58	wgs6.contig9	100	42919	143534	29148	101323	201906	14149	10691994	3577	5352132	5083248	0.000668332
LM3654	wgs13	D3654	LM3654.contig1	Mitomycin C	49420	circular	49420	2000	1	79	65	Cronobacter phage ENT47670	12	wgs13.contig2	100	49420	655541	41345	168232	209382	136236	10610270	929376	5669372	4582092	0.163929268
LN3654	wgs13	D3654	LN3654.contig1	No inducer	49420	circular	49420	1038	1	79	65	Cronobacter phage ENT47670	12	wgs13.contig2	100	49420	655541	45650	82854	147448	136233	10610270	929376	5669372	4582092	0.163929268
LM3451	wgs10	D3451	LM3451.contig1	Mitomycin C	54009	non-circular	54009	446	0.996778	73	65	Enterococcus phage phiFL4A	41	wgs10.contig5	100	54009	210777	35976	30002	108906	11164	11249492	335182	8997444	2377460	0.037253024
DM3754	wgs24	D3754	DM3754.contig1	Mitomycin C	48248	circular	48248	29807	0.999999	72	61	Edwardsiella phage GF-2	12	wgs24.contig15	100	48248	109531	41765	2870066	2941598	3199653	12377160	3904731	5460912	4230680	0.715032764
DNM3754	wgs24	D3754	DNM3754.contig1	No inducer	48248	circular	48248	47330	0.999999	72	61	Edwardsiella phage GF-2	12	wgs24.contig15	100	48248	109531	33718	2689736	2886312	3199853	12377160	3904731	5460912	4230680	0.715032764
LN4281	wgs21	D4281	LN4281.contig1	No inducer	54673	non-circular	54673	140	0.997878	77	57	Klebsiella phage KPP5665-2	5	wgs21.contig8	99.99	54673	210166	30616	8503	160018	3539	8897306	138125	4086654	913304	0.033799044
BN3451	wgs1	D3451	BN3451.contig1	No inducer	39185	circular	39185	2844	1	57	55	Enterococcus phage EFC-1	39	wgs1.contig6	100	39185	204200	23257	125613	195906	3176	11249492	300152	8997444	2377460	0.033359696
BM3451	wgs1	D3451	BM3451.contig1	Mitomycin C	39144	non-circular	39144	2466	1	57	55	Enterococcus phage EFC-1	38	wgs1.contig6	99.99	39144	204200	33987	196885	249392	3176	11249492	300152	8997444	2377460	0.033359696
LN3954	wgs16	D3954	LN3954.contig1	No inducer	47729	non-circular	47729	985	1	64	53	Klebsiella phage KPP5665-2	7	wgs16.contig128	99.71	47729	1716	1716	39247	123718	5	9881174	36356	11864520	6540484	0.003064262
DM3951	wgs25	D3951	DM3951.contig1	Mitomycin C	41197	circular	41197	4126	1	53	52	Escherichia phage TL-2011b	24	wgs25.contig21	100	41197	97922	22678	353121	2738854	12499	8458284	866608	9746080	6326444	0.088918622
DNM3951	wgs25	D3951	DNM3951.contig2	No inducer	41197	circular	41197	2196	1	52	51	Escherichia phage TL-2011b	24	wgs25.contig21	100	41197	97922	23261	132868	2719292	12506	8458284	866608	9746080	6326444	0.088918622
LN3984	wgs18	D3984	LN3984.contig1	No inducer	41441	non-circular	41441	537	1	60	51	Cronobacter phage ENT47670	15	wgs18.contig7	100	41441	310670	31435	27720	128186	30905	9815116	1631220	8879628	6171168	0.183703642
LB3451	wgs10	D3451	LB3451.contig1	Carbadox	37537	circular	37537	3031	1	52	50	Enterococcus phage phiFL4A	41	wgs10.contig5	100	37537	210777	33263	209123	236210	9336	11249492	335182	8997444	2377460	0.037253024
LN3451	wgs10	D3451	LN3451.contig1	No inducer	37537	circular	37537	2214	1	52	50	Enterococcus phage phiFL4A	41	wgs10.contig5	100	37537	210777	26629	130459	146666	9342	11249492	335182	8997444	2377460	0.037253024
LM3451	wgs10	D3451	LM3451.contig2	Mitomycin C	36491	circular	36491	1004	1	56	49	Enterococcus phage phiEf11	11	wgs10.contig7	100	36491	130829	20595	57770	108906	689	11249492	335182	8997444	2377460	0.037253024
LC3451	wgs10	D3451	LC3451.contig1	Cipro	36491	circular	36491	327	0.999699	55	48	Enterococcus phage phiEf11	11	wgs10.contig7	100	36491	130829	22028	19180	150978	688	11249492	335182	8997444	2377460	0.037253024
LM4281	wgs21	D4281	LM4281.contig1	Mitomycin C	42665	circular	42665	559	1	55	48	Salmonella phage SEN34	25	wgs21.contig9	100	42665	172413	29056	34409	70384	885	8897306	138125	4086654	913304	0.033799044
LM3891	wgs14	D3891	LM3891.contig1	Mitomycin C	38892	non-circular	38892	210	0.993495	51	47	Enterobacterial phage mEp390	11	wgs14.contig23	100	38892	67688	17932	9999	171904	823	10950974	2205999	11627230	7181074	0.18972696
LCN3404	wgs9	D3404	LCN3404.contig1	No inducer	48546	circular	48546	752	1	67	46	Salmonella phage SPN3UB	7	wgs9.contig33	100	48546	45381	17707	53332	56958	17793	11405602	326764	6083826	2979002	0.05371028
LN4281	wgs21	D4281	LN4281.contig2	No inducer	42665	circular	42665	1788	1	54	46	Salmonella phage SEN34	24	wgs21.contig9	100	42665	172413	28208	124600	160018	885	8897306	138125	4086654	913304	0.033799044
LM3404	wgs9	D3404	LM3404.contig1	Mitomycin C	44859	non-circular	44859	1300	1	63	46	Salmonella phage SPN3UB	7	wgs9.contig33	99.99	44859	45381	27426	109867	134010	15560	11405602	326764	6083826	2979002	0.05371028
LM3651	wgs12	D3651	LM3651.contig3	Mitomycin C	31552	non-circular	31552	107	0.995817	45	45	Escherichia phage D108	36	wgs12.contig97	100	31552	8582	8454	6209	75018	14116	11044108	1439076	7695824	5127024	0.186994401
LN3651	wgs12	D3651	LN3651.contig1	No inducer	31552	non-circular	31552	186	0.996292	45	45	Escherichia phage D108	36	wgs12.contig97	100	31552	8582	8454	11117	78854	14145	11044108	1439076	7695824	5127024	0.186994401
DM3951	wgs25	D3951	DM3951.contig2	Mitomycin C	40696	non-circular	40696	30655	1	54	45	Salmonella phage SEN34	26	wgs25.contig27	100	40696	75605	38800	2072858	2738854	303268	8458284	866608	9746080	6326444	0.088918622
DNM3951	wgs25	D3951	DNM3951.contig3	No inducer	40696	non-circular	40696	31913	1	54	45	Salmonella phage SEN34	26	wgs25.contig27	100	40696	75605	38800	1619829	2719292	303269	8458284	866608	9746080	6326444	0.088918622
LN4281	wgs21	D4281	LN4281.contig3	No inducer	36280	non-circular	36280	159	0.997078	55	45	Vibrio phage VD1	8	wgs21.contig1	100	36280	1032717	20219	12462	160018	1231	8897306	138125	4086654	913304	0.033799044
DNM3400	wgs22	D3400	DNM3400.contig1	No inducer	36961	non-circular	36961	3069	0.997213	55	44	Burkholderia virus phiE255	19	wgs22.contig18	99.94	36961	77511	24560	204894	1646062	0	10292330	9753467	9846934	9770662	0.99050801
LM3651	wgs12	D3651	LM3651.contig1	Mitomycin C	35677	non-circular	35677	204	0.985228	49	43	Enterobacteria phage P88	35	wgs12.contig33	99.98	35677	13457	13457	13927	75018	481	11044108	1439076	7695824	5127024	0.186994401
EN3894	wgs7	D3894	EN3894.contig1	No inducer	29280	non-circular	29280	2642	0.997985	48	43	Enterococcus phage EF62phi	42	wgs7.contig34	100	29280	28901	28901	132767	271988	13970	7246360	473827	8103910	2787650	0.058468937
LM4281	wgs21	D4281	LM4281.contig2	Mitomycin C	38254	non-circular	38254	205	0.986668	56	43	Vibrio phage VD1	8	wgs21.contig1	100	38254	1032717	21496	15866	70384	1257	8897306	138125	4086654	913304	0.033799044
BC3751	wgs2	D3751	BC3751.contig1	Mitomycin C	34240	non-circular	34240	3307	0.997576	56	43	Lactobacillus phage iA2	5	wgs2.contig7	99.97	34240	175009	18921	215997	225892	2902	9505542	80755	6918152	4032156	0.011672915
LM3894	wgs15	D3894	LM3894.contig1	Mitomycin C	29183	non-circular	29183	1121	0.998801	48	43	Enterococcus phage EF62phi	42	wgs15.contig15	100	29183	28901	28901	74745	191764	13971	7246360	2797	8103910	2787650	0.000345142
LN4010	wgs19	D4010	LN4010.contig1	No inducer	52287	circular	52287	1234	1	81	42	Rhodococcus phage REQ3	6	NA	NA	NA	NA	NA	53514	61304	0	5012934	16461	419850	4522782	0.03920686
EN3854	wgs6	D3854	EN3854.contig2	No inducer	41397	circular	41397	1605	1	61	42	Streptococcus phage EJ-1	14	NA	NA	NA	NA	NA	87959	201906	277712	10691994	3577	5352132	5083248	0.000668332
BM3754	wgs3	D3754	BM3754.contig1	Mitomycin C	38348	circular	38348	4039	1	57	42	Enterococcus phage vB_EfaS_IME197	3	wgs3.contig2	100	38348	299821	27527	210127	219634	582	12377160	2694	5460912	4230680	0.000493324
BM3451	wgs1	D3451	BM3451.contig2	Mitomycin C	35843	non-circular	35843	513	0.994448	59	42	Enterococcus phage vB_EfaS_IME197	6	wgs1.contig15	100	35843	64732	17597	43180	249392	4398	11249492	300152	8997444	2377460	0.033359696
LM4010	wgs19	D4010	LM4010.contig1	Mitomycin C	52288	circular	52288	2189	1	82	41	Rhodococcus phage REQ3	6	NA	NA	NA	NA	NA	117067	134196	0	5012934	16461	419850	4522782	0.03920686
BN3754	wgs3	D3754	BN3754.contig1	No inducer	38348	circular	38348	3931	1	57	41	Enterococcus phage vB_EfaS_IME197	3	wgs3.contig2	100	38348	299821	32389	222526	234830	582	12377160	2694	5460912	4230680	0.000493324
DM3400	wgs22	D3400	DM3400.contig1	Mitomycin C	26467	non-circular	26467	1305	0.999282	39	37	Enterobacteria phage phiP27	14	wgs22.contig109	94.81	26467	4462	1849	75103	2382644	2817	10292330	9753467	9846934	9770662	0.99050801
LC3451	wgs10	D3451	LC3451.contig2	Cipro	30730	non-circular	30730	1285	1	39	37	Enterococcus phage phiFL4A	32	wgs10.contig5	100	30730	210777	30730	63222	150978	7513	11249492	335182	8997444	2377460	0.037253024
DM3734	wgs23	D3734	DM3734.contig4	Mitomycin C	23677	non-circular	23677	8555	1	42	37	Enterobacteria phage 933W sensu lato	8	NA	NA	NA	NA	NA	593453	3061110	6884	11965204	131711	7454292	4427480	0.01766915
EN3404	wgs4	D3404	EN3404.contig1	No inducer	43161	non-circular	43161	922	0.998772	66	37	Streptococcus phage phi30c	7	wgs4.contig2	100	43161	440420	25394	38985	158738	2510	11405602	50940	6083826	2979002	0.008373021
LM3651	wgs12	D3651	LM3651.contig2	Mitomycin C	34390	non-circular	34390	516	0.995813	40	35	Escherichia virus Lambda	13	wgs12.contig63	99.31	34390	10228	7241	34448	75018	97	11044108	1439076	7695824	5127024	0.186994401
LN3984	wgs18	D3984	LN3984.contig2	No inducer	28653	non-circular	28653	471	0.999825	41	35	Salmonella phage 29485	9	wgs18.contig20	100	28653	7320	5780	26199	128186	214864	9815116	1631220	8879628	6171168	0.183703642
LM3981	wgs17	D3981	LM3981.contig1	Mitomycin C	27834	non-circular	27834	210	0.98315	38	35	Enterobacteria phage mEp235	7	wgs17.contig22	99.99	27834	23834	17172	8102	14640	1737	9710598	112495	10357630	5290794	0.010861075
EN3984	wgs8	D3984	EN3984.contig2	No inducer	34489	non-circular	34489	2718	0.994984	53	35	Bacillus phage vB_BtS_BMBtp15	5	wgs8.contig7	99.97	34489	154546	19634	220573	298580	906	7246360	4256	8879628	6171168	0.000479299
LN3954	wgs16	D3954	LN3954.contig2	No inducer	36935	circular	36935	424	0.994829	48	33	Pectobacterium phage ZF40	10	wgs16.contig136	100	36935	1683	1683	16974	123718	1575	9881174	36356	11864520	6540484	0.003064262
LN3891	wgs14	D3891	LN3891.contig1	No inducer	23919	non-circular	23919	118	0.983987	34	33	Salmonella phage SEN1	20	wgs14.contig4	99.99	23919	294689	15288	4458	121524	464	10950974	2205999	11627230	7181074	0.18972696
DNM3951	wgs25	D3951	DNM3951.contig1	No inducer	112789	non-circular	112789	680	0.999468	88	33	Escherichia phage TL-2011b	4	wgs25.contig21	100	112789	97922	70645	42749	2719292	5945	8458284	866608	9746080	6326444	0.088918622
LN4281	wgs21	D4281	LN4281.contig4	No inducer	27147	non-circular	27147	111	0.989207	38	32	Cronobacter phage ESSI-2	25	wgs21.contig2	100	27147	720790	26784	6536	160018	13	8897306	138125	4086654	913304	0.033799044
EN3984	wgs8	D3984	EN3984.contig1	No inducer	35763	non-circular	35763	377	0.999077	51	32	Enterococcus phage IME-EFm5	4	wgs8.contig3	100	35763	197360	20152	36390	298580	0	7246360	4256	8879628	6171168	0.000479299
LN3451	wgs10	D3451	LN3451.contig2	No inducer	19390	non-circular	19390	52	0.992109	36	31	Enterococcus phage phiEf11	11	wgs10.contig7	100	19390	130829	19236	2318	146666	122	11249492	335182	8997444	2377460	0.037253024
DNM3734	wgs23	D3734	DNM3734.contig2	No inducer	18489	non-circular	18489	260	0.999783	33	31	Enterobacteria phage phiP27	14	NA	NA	NA	NA	NA	12834	2175788	7759	11965204	131711	7454292	4427480	0.01766915
LM3954	wgs16	D3954	LM3954.contig1	Mitomycin C	29238	non-circular	29238	103	0.999076	38	31	Klebsiella phage KPP5665-2	4	wgs16.contig128	99.71	29238	1716	1716	3893	15272	2	9881174	36356	11864520	6540484	0.003064262
LM3891	wgs14	D3891	LM3891.contig2	Mitomycin C	22936	non-circular	22936	122	0.986353	31	30	Salmonella phage SEN1	19	wgs14.contig4	99.99	22936	294689	14308	6158	171904	461	10950974	2205999	11627230	7181074	0.18972696
BN3751	wgs2	D3751	BN3751.contig1	No inducer	33412	non-circular	33412	616	1	42	30	Enterococcus virus FL1	8	wgs2.contig4	100	33412	190521	31558	39175	257188	1603	9505542	80755	6918152	4032156	0.011672915
LN3894	wgs15	D3894	LN3894.contig1	No inducer	21183	non-circular	21183	454	0.993816	34	29	Enterococcus phage EF62phi	28	wgs15.contig15	100	21183	28901	21125	28455	162544	11213	7246360	2797	8103910	2787650	0.000345142
EN3754	wgs5	D3754	EN3754.contig1	No inducer	18749	non-circular	18749	812	0.999573	39	28	Enterococcus phage vB_EfaS_IME197	4	wgs5.contig3	99.98	18749	175008	13230	49807	202582	499	12377160	4574	5460912	4230680	0.000837589
DM3400	wgs22	D3400	DM3400.contig2	Mitomycin C	21975	non-circular	21975	120	0.990671	38	27	Burkholderia virus phiE255	8	wgs22.contig18	100	21975	77511	16212	6621	2382644	0	10292330	9753467	9846934	9770662	0.99050801
LN3651	wgs12	D3651	LN3651.contig2	No inducer	22102	non-circular	22102	521	0.99914	26	26	Enterobacteria phage P88	23	wgs12.contig33	99.98	22102	13457	13457	37019	78854	235	11044108	1439076	7695824	5127024	0.186994401
BN3751	wgs2	D3751	BN3751.contig2	No inducer	17624	non-circular	17624	1640	1	38	26	Enterococcus phage vB_EfaS_IME197	4	wgs2.contig7	99.98	17624	175009	13007	109581	257188	1068	9505542	80755	6918152	4032156	0.011672915
EN3404	wgs4	D3404	EN3404.contig4	No inducer	15303	non-circular	15303	320	0.994903	32	26	Enterococcus phage vB_EfaS_IME197	4	wgs4.contig71	99.87	15303	794	794	13934	158738	15	11405602	50940	6083826	2979002	0.008373021
LN3891	wgs14	D3891	LN3891.contig2	No inducer	22142	non-circular	22142	27	0.97087	36	24	Pectobacterium phage ZF40	10	wgs14.contig2	89.58	22142	506427	144	1808	121524	4	10950974	2205999	11627230	7181074	0.18972696
DNM3951	wgs25	D3951	DNM3951.contig4	No inducer	19767	non-circular	19767	6085	1	28	24	Burkholderia virus phiE255	13	wgs25.contig30	100	19767	48688	19767	354814	2719292	55127	8458284	866608	9746080	6326444	0.088918622
LM4281	wgs21	D4281	LM4281.contig3	Mitomycin C	19517	non-circular	19517	175	0.991495	29	23	Cronobacter phage ESSI-2	18	wgs21.contig2	100	19517	720790	18598	10481	70384	6	8897306	138125	4086654	913304	0.033799044
DM3734	wgs23	D3734	DM3734.contig10	Mitomycin C	14632	non-circular	14632	6250	1	25	23	Enterobacteria phage phiP27	12	NA	NA	NA	NA	NA	417152	3061110	6057	11965204	131711	7454292	4427480	0.01766915
DNM3400	wgs22	D3400	DNM3400.contig3	No inducer	18517	non-circular	18517	67	0.998325	28	22	Anomala cuprea entomopoxvirus	2	wgs22.contig74	100	18517	15933	7630	3803	1646062	9	10292330	9753467	9846934	9770662	0.99050801
DNM3400	wgs22	D3400	DNM3400.contig4	No inducer	15706	non-circular	15706	74	0.999299	25	22	Enterobacteria phage P88	18	wgs22.contig27	100	15706	63354	8386	3730	1646062	2197	10292330	9753467	9846934	9770662	0.99050801
LM3984	wgs18	D3984	LM3984.contig2	Mitomycin C	14481	non-circular	14481	159	0.981286	22	22	Salmonella phage SSU5	22	wgs18.contig12	100	14481	111670	14463	8255	88356	224517	9815116	1631220	8879628	6171168	0.183703642
DNM3400	wgs22	D3400	DNM3400.contig2	No inducer	21950	non-circular	21950	228	0.999909	30	21	Escherichia phage Rac-SA53	5	wgs22.contig104	100	21950	5257	5257	11857	1646062	59887	10292330	9753467	9846934	9770662	0.99050801
LN3654	wgs13	D3654	LN3654.contig2	No inducer	16730	non-circular	16730	72	0.99749	23	21	Erwinia phage EtG	7	wgs13.contig6	100	16730	304485	16683	5539	147448	380	10610270	929376	5669372	4582092	0.163929268
LM4010	wgs19	D4010	LM4010.contig2	Mitomycin C	27382	non-circular	27382	162	0.997772	52	21	Corynebacterium phage IME1320_01	4	NA	NA	NA	NA	NA	9748	134196	0	5012934	16461	419850	4522782	0.03920686
DM3734	wgs23	D3734	DM3734.contig8	Mitomycin C	16828	non-circular	16828	1420	1	23	21	Shigella phage SfIV	8	wgs23.contig5	100	16828	293305	48	102076	3061110	5211	11965204	131711	7454292	4427480	0.01766915
DNM3754	wgs24	D3754	DNM3754.contig3	No inducer	16288	non-circular	16288	62	0.993983	20	20	Klebsiella phage KPP5665-2	4	wgs24.contig26	100	16288	79126	16288	3927	2886312	3150	12377160	3904731	5460912	4230680	0.715032764
LM3654	wgs13	D3654	LM3654.contig3	Mitomycin C	18470	non-circular	18470	248	1	21	20	Erwinia phage EtG	9	wgs13.contig6	100	18470	304485	9297	20438	209382	897	10610270	929376	5669372	4582092	0.163929268
LN3981	wgs17	D3981	LN3981.contig1	No inducer	25081	non-circular	25081	158	0.999402	35	20	Enterobacteria phage mEp237	3	wgs17.contig9	100	25081	256084	20703	8977	74478	12	9710598	112495	10357630	5290794	0.010861075
EM3404	wgs4	D3404	EM3404.contig1	Mitomycin C	21331	non-circular	21331	1301	0.999999	45	20	Bacillus phage BMBtp1	1	wgs4.contig2	99.98	21331	440420	17128	77977	237916	0	11405602	50940	6083826	2979002	0.008373021
DNM3734	wgs23	D3734	DNM3734.contig1	No inducer	21895	non-circular	21895	1593	0.999452	27	19	Escherichia phage JLK-2012	3	NA	NA	NA	NA	NA	76587	2175788	24814	11965204	131711	7454292	4427480	0.01766915
LN3981	wgs17	D3981	LN3981.contig2	No inducer	17700	non-circular	17700	687	0.999435	21	19	Salmonella phage FSL SP-004	4	wgs17.contig14	100	17700	86569	7170	36852	74478	16756	9710598	112495	10357630	5290794	0.010861075
LN3981	wgs17	D3981	LN3981.contig3	No inducer	14413	non-circular	14413	56	0.957677	19	19	Klebsiella phage phiKO2	7	wgs17.contig9	99.98	14413	256084	14309	2666	74478	2	9710598	112495	10357630	5290794	0.010861075
LN3981	wgs17	D3981	LN3981.contig4	No inducer	13085	non-circular	13085	349	0.996332	20	19	Erwinia phage EtG	5	wgs17.contig14	100	13085	86569	13085	19718	74478	160	9710598	112495	10357630	5290794	0.010861075
