target	acc	tlen	query	qlen	evalue
ABC_tran	PF00005.27	137	DDN1.contig1_1	256	4e-27
AAA_21	PF13304.6	303	DDN1.contig1_1	256	1.9e-07
SMC_N	PF02463.19	220	DDN1.contig1_1	256	3.2e-05
AAA_29	PF13555.6	61	DDN1.contig1_1	256	0.00043
AAA_16	PF13191.6	170	DDN1.contig1_1	256	0.0025
AAA_23	PF13476.6	200	DDN1.contig1_1	256	0.0033
TfoX_C	PF04994.13	81	DDN1.contig1_2	91	7.3e-31
Cdd1	PF11731.8	86	DDN1.contig1_2	91	0.00016
Sbi-IV	PF11621.8	69	DDN1.contig1_2	91	0.034
Pentapeptide	PF00805.22	40	DDN1.contig1_3	115	1.2e-15
Pentapeptide	PF00805.22	40	DDN1.contig1_3	115	1.2e-15
Pentapeptide	PF00805.22	40	DDN1.contig1_3	115	1.2e-15
Pentapeptide_4	PF13599.6	77	DDN1.contig1_3	115	6.4e-06
Pentapeptide_3	PF13576.6	48	DDN1.contig1_3	115	0.00033
AAA_33	PF13671.6	143	DDN1.contig1_4	519	8.2e-36
APH	PF01636.23	240	DDN1.contig1_4	519	8.6e-07
Transgly	PF00912.22	178	DDN1.contig1_5	775	9.7e-60
UB2H	PF14814.6	85	DDN1.contig1_5	775	4.1e-23
Transpeptidase	PF00905.22	306	DDN1.contig1_5	775	6.3e-19
UvrB_inter	PF17757.1	91	DDN1.contig1_5	775	5e-07
TPR_16	PF13432.6	68	DDN1.contig1_6	247	1.8e-05
TPR_15	PF13429.6	280	DDN1.contig1_6	247	0.00013
TPR_21	PF09976.9	193	DDN1.contig1_6	247	0.00075
TPR_12	PF13424.6	77	DDN1.contig1_6	247	0.0009
TPR_19	PF14559.6	68	DDN1.contig1_6	247	0.0011
TPR_4	PF07721.14	26	DDN1.contig1_6	247	0.0093
DUF446	PF04287.12	98	DDN1.contig1_7	110	9.2e-31
TPP_enzyme_N	PF02776.18	172	DDN1.contig1_8	575	7.3e-60
TPP_enzyme_C	PF02775.21	153	DDN1.contig1_8	575	1.8e-50
TPP_enzyme_M	PF00205.22	137	DDN1.contig1_8	575	5.4e-46
POR_N	PF01855.19	231	DDN1.contig1_8	575	0.0003
ALS_ss_C	PF10369.9	74	DDN1.contig1_9	164	3.6e-27
ACT_5	PF13710.6	62	DDN1.contig1_9	164	1.8e-15
ACT	PF01842.25	67	DDN1.contig1_9	164	6.3e-15
ACT_4	PF13291.6	80	DDN1.contig1_9	164	0.0053
IlvN	PF07991.12	165	DDN1.contig1_10	339	5.2e-74
IlvC	PF01450.19	144	DDN1.contig1_10	339	3.4e-61
2-Hacid_dh_C	PF02826.19	178	DDN1.contig1_10	339	2.9e-06
F420_oxidored	PF03807.17	97	DDN1.contig1_10	339	4.3e-05
NAD_binding_2	PF03446.15	158	DDN1.contig1_10	339	5.5e-05
AdoHcyase_NAD	PF00670.21	162	DDN1.contig1_10	339	0.00026
ApbA	PF02558.16	152	DDN1.contig1_10	339	0.00039
NAD_binding_7	PF13241.6	104	DDN1.contig1_10	339	0.0013
CDP-OH_P_transf	PF01066.21	66	DDN1.contig1_11	286	4e-13
CD225	PF04505.12	68	DDN1.contig1_11	286	0.00099
Oxidored_molyb	PF00174.19	172	DDN1.contig1_12	338	1.3e-31
Ferric_reduct	PF01794.19	125	DDN1.contig1_13	207	2.6e-15
DUF2818	PF10993.8	93	DDN1.contig1_13	207	0.036
PqiA	PF04403.13	156	DDN1.contig1_15	220	1.6e-47
PqiA	PF04403.13	156	DDN1.contig1_16	208	1.4e-57
TF_Zn_Ribbon	PF08271.12	43	DDN1.contig1_16	208	0.014
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
MlaD	PF02470.20	81	DDN1.contig1_17	768	1.9e-69
HTH_21	PF13276.6	60	DDN1.contig2_1	43	9.3e-06
Arg_repressor	PF01316.21	70	DDN1.contig2_1	43	0.017
HTH_33	PF13592.6	60	DDN1.contig2_1	43	0.037
HTH_Tnp_1	PF01527.20	75	DDN1.contig2_2	103	1.7e-14
HTH_29	PF13551.6	63	DDN1.contig2_2	103	0.00018
MAD	PF05557.13	661	DDN1.contig2_2	103	0.0066
HTH_39	PF14090.6	70	DDN1.contig2_3	73	1.2e-14
Bac_DNA_binding	PF00216.21	90	DDN1.contig2_4	93	1.1e-31
HU-HIG	PF18291.1	125	DDN1.contig2_4	93	8.4e-08
HU-CCDC81_euk_2	PF18289.1	75	DDN1.contig2_4	93	0.00015
DUF2267	PF10025.9	122	DDN1.contig2_4	93	0.00025
HU-CCDC81_bac_2	PF18175.1	70	DDN1.contig2_4	93	0.0048
YhcG_C	PF06250.11	155	DDN1.contig2_5	385	5.4e-55
DUF1016_N	PF17761.1	137	DDN1.contig2_5	385	2.1e-38
DUF1016_N	PF17761.1	137	DDN1.contig2_6	76	1.8e-07
FAA_hydrolase	PF01557.18	218	DDN1.contig2_7	288	1.9e-69
DUF2437	PF10370.9	50	DDN1.contig2_7	288	0.021
adh_short_C2	PF13561.6	234	DDN1.contig2_8	251	5.8e-56
adh_short	PF00106.25	195	DDN1.contig2_8	251	3.2e-54
KR	PF08659.10	180	DDN1.contig2_8	251	2.4e-06
Epimerase	PF01370.21	241	DDN1.contig2_8	251	3.5e-06
MFS_1	PF07690.16	353	DDN1.contig2_9	443	1.4e-39
MR_MLE_C	PF13378.6	220	DDN1.contig2_10	393	2.6e-47
MR_MLE_N	PF02746.16	117	DDN1.contig2_10	393	6.5e-12
adh_short_C2	PF13561.6	234	DDN1.contig2_11	261	4e-61
adh_short	PF00106.25	195	DDN1.contig2_11	261	5.1e-47
KR	PF08659.10	180	DDN1.contig2_11	261	1.1e-09
LysR_substrate	PF03466.20	209	DDN1.contig2_12	315	9.2e-34
HTH_1	PF00126.27	60	DDN1.contig2_12	315	5.9e-15
rhaM	PF05336.13	108	DDN1.contig2_13	105	9.4e-25
Amidohydro_2	PF04909.14	291	DDN1.contig2_14	300	3.3e-38
ABC_tran	PF00005.27	137	DDN1.contig2_15	512	9.9e-49
ABC_tran	PF00005.27	137	DDN1.contig2_15	512	9.9e-49
AAA_21	PF13304.6	303	DDN1.contig2_15	512	2.6e-08
BPD_transp_2	PF02653.16	268	DDN1.contig2_16	316	2.2e-36
TraG_N	PF07916.11	467	DDN1.contig3_1	982	1e-68
DDE_Tnp_1	PF01609.21	214	DDN1.contig3_2	475	3.5e-16
DUF772	PF05598.11	73	DDN1.contig3_2	475	3.4e-15
DDE_Tnp_1_6	PF13751.6	125	DDN1.contig3_2	475	1.2e-14
Cytochrome_CBB3	PF13442.6	67	DDN1.contig3_3	535	9.9e-07
Catalase	PF00199.19	383	DDN1.contig3_4	377	1.4e-05
DUF4131	PF13567.6	167	DDN1.contig3_4	377	2.9e-05
LysR_substrate	PF03466.20	209	DDN1.contig3_5	310	1.8e-33
HTH_1	PF00126.27	60	DDN1.contig3_5	310	7.3e-22
HTH_24	PF13412.6	48	DDN1.contig3_5	310	6.6e-05
MarR_2	PF12802.7	62	DDN1.contig3_5	310	0.004
PepX_C	PF08530.10	226	DDN1.contig3_6	327	2e-16
TraL	PF07178.11	90	DDN1.contig4_1	33	2.1e-07
Thioredoxin_4	PF13462.6	166	DDN1.contig4_2	271	5.5e-24
DSBA	PF01323.20	193	DDN1.contig4_2	271	2.7e-14
Thioredoxin_2	PF13098.6	109	DDN1.contig4_2	271	0.0016
Thioredoxin_5	PF13743.6	186	DDN1.contig4_2	271	0.011
Castor_Poll_mid	PF06241.12	104	DDN1.contig4_2	271	0.018
DUF4400	PF14348.6	204	DDN1.contig4_3	218	6.4e-27
TrwB_AAD_bind	PF10412.9	386	DDN1.contig4_5	624	1.3e-15
TrwB_AAD_bind	PF10412.9	386	DDN1.contig4_5	624	1.3e-15
TraG-D_C	PF12696.7	126	DDN1.contig4_5	624	4.3e-15
DUF87	PF01935.17	227	DDN1.contig4_5	624	7.5e-08
AAA_10	PF12846.7	362	DDN1.contig4_5	624	1.2e-05
FtsK_SpoIIIE	PF01580.18	243	DDN1.contig4_5	624	0.00014
TraI_2	PF07514.11	327	DDN1.contig4_6	1219	1.2e-83
TraI_2	PF07514.11	327	DDN1.contig4_9	132	5.9e-05
PhoD	PF09423.10	350	DDN1.contig4_9	132	0.056
FR47	PF08445.10	86	DDN1.contig5_2	227	6e-17
Acetyltransf_1	PF00583.25	117	DDN1.contig5_2	227	1.1e-08
Acetyltransf_10	PF13673.7	127	DDN1.contig5_2	227	3.4e-07
Acetyltransf_7	PF13508.7	76	DDN1.contig5_2	227	2.8e-05
GNAT_acetyltran	PF12746.7	243	DDN1.contig5_2	227	0.0003
AP_endonuc_2	PF01261.24	210	DDN1.contig5_3	302	7.1e-19
TAT_signal	PF10518.9	26	DDN1.contig5_3	302	0.034
Penicil_amidase	PF01804.18	674	DDN1.contig5_4	724	4.6e-113
AHSA1	PF08327.11	125	DDN1.contig5_5	165	3.3e-06
AHSA1	PF08327.11	125	DDN1.contig5_6	148	1.2e-05
HTH_18	PF12833.7	81	DDN1.contig5_7	319	6.6e-16
DJ-1_PfpI	PF01965.24	165	DDN1.contig5_7	319	2.4e-13
HTH_AraC	PF00165.23	42	DDN1.contig5_7	319	3.4e-07
RNA_pol_A_CTD	PF03118.15	67	DDN1.contig5_8	93	1.6e-05
HHH_5	PF14520.6	57	DDN1.contig5_8	93	0.00049
Peptidase_S41	PF03572.18	166	DDN1.contig5_9	307	5.1e-13
Tricorn_PDZ	PF14685.6	88	DDN1.contig5_9	307	5.3e-08
PDZ_2	PF13180.6	82	DDN1.contig5_9	307	0.00018
PDZ_6	PF17820.1	56	DDN1.contig5_9	307	0.0026
Metallophos	PF00149.28	204	DDN1.contig6_1	165	1.7e-10
Metallophos_2	PF12850.7	165	DDN1.contig6_1	165	0.0004
PBP_like_2	PF12849.7	282	DDN1.contig6_3	340	3.8e-59
PBP_like	PF12727.7	193	DDN1.contig6_3	340	7.1e-07
MerR_1	PF13411.6	69	DDN1.contig6_5	145	1.6e-21
MerR-DNA-bind	PF09278.11	65	DDN1.contig6_5	145	2.5e-19
MerR	PF00376.23	38	DDN1.contig6_5	145	4.4e-17
E1-E2_ATPase	PF00122.20	181	DDN1.contig6_6	784	1.1e-54
Hydrolase	PF00702.26	210	DDN1.contig6_6	784	4.7e-45
HMA	PF00403.26	62	DDN1.contig6_6	784	8.4e-05
Lactonase	PF10282.9	344	DDN1.contig6_8	334	2.2e-12
Cytochrom_D1	PF02239.16	368	DDN1.contig6_8	334	1e-09
Cytochrom_D1	PF02239.16	368	DDN1.contig6_8	334	1e-09
SGL	PF08450.12	246	DDN1.contig6_8	334	0.00048
DUF3396	PF11876.8	207	DDN1.contig6_9	225	0.047
EAL	PF00563.20	238	DDN1.contig7_1	1284	1.9e-77
GGDEF	PF00990.21	161	DDN1.contig7_1	1284	1.1e-50
PAS_9	PF13426.7	104	DDN1.contig7_1	1284	4e-33
PAS_9	PF13426.7	104	DDN1.contig7_1	1284	4e-33
PAS_9	PF13426.7	104	DDN1.contig7_1	1284	4e-33
PAS	PF00989.25	113	DDN1.contig7_1	1284	3.2e-18
PAS	PF00989.25	113	DDN1.contig7_1	1284	3.2e-18
PAS_3	PF08447.12	89	DDN1.contig7_1	1284	1.2e-17
PAS_3	PF08447.12	89	DDN1.contig7_1	1284	1.2e-17
PAS_4	PF08448.10	110	DDN1.contig7_1	1284	4.7e-17
PAS_4	PF08448.10	110	DDN1.contig7_1	1284	4.7e-17
PAS_8	PF13188.7	67	DDN1.contig7_1	1284	2.8e-12
rve	PF00665.26	119	DDN1.contig7_2	513	7e-18
